CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
4403.2764, 142.9362, 120.1525, 714.8123, 0.0021, 0.0541, -0.0174, 142.9362, 120.1525, 714.8123, 0.0021, 0.0541, -0.0174, 66365
4403.2931, 143.5365, 120.0406, 716.6476, 0.0010, 0.0492, -0.0146, 143.5365, 120.0406, 716.6476, 0.0010, 0.0492, -0.0146, 66366
4403.3098, 141.5546, 119.4678, 708.4225, -0.0031, 0.0609, -0.0217, 141.5546, 119.4678, 708.4225, -0.0031, 0.0609, -0.0217, 66367
4403.3265, 143.0879, 120.0865, 716.1530, 0.0091, 0.0576, -0.0169, 143.0879, 120.0865, 716.1530, 0.0091, 0.0576, -0.0169, 66368
4403.3431, 142.4718, 119.9105, 713.0175, 0.0078, 0.0551, -0.0188, 142.4718, 119.9105, 713.0175, 0.0078, 0.0551, -0.0188, 66369
4403.3598, 142.2543, 119.5976, 711.8583, -0.0022, 0.0618, -0.0182, 142.2543, 119.5976, 711.8583, -0.0022, 0.0618, -0.0182, 66370
4403.3765, 143.0326, 120.1191, 714.4786, -0.0019, 0.0602, -0.0227, 143.0326, 120.1191, 714.4786, -0.0019, 0.0602, -0.0227, 66371
4403.3932, 144.0636, 120.4824, 719.5179, 0.0127, 0.0539, -0.0147, 144.0636, 120.4824, 719.5179, 0.0127, 0.0539, -0.0147, 66372
4403.4098, 142.0821, 119.6866, 712.3470, 0.0149, 0.0629, -0.0215, 142.0821, 119.6866, 712.3470, 0.0149, 0.0629, -0.0215, 66373
4403.4265, 142.7481, 120.0060, 714.3138, 0.0093, 0.0493, -0.0139, 142.7481, 120.0060, 714.3138, 0.0093, 0.0493, -0.0139, 66374
4403.4433, 142.8535, 120.0457, 715.2560, 0.0014, 0.0610, -0.0161, 142.8535, 120.0457, 715.2560, 0.0014, 0.0610, -0.0161, 66375
4403.4600, 141.4775, 119.3544, 708.3707, -0.0006, 0.0581, -0.0168, 141.4775, 119.3544, 708.3707, -0.0006, 0.0581, -0.0168, 66376
4403.4767, 142.7200, 119.7860, 713.6560, 0.0055, 0.0444, -0.0165, 142.7200, 119.7860, 713.6560, 0.0055, 0.0444, -0.0165, 66377
4403.4933, 142.2896, 119.6301, 712.0751, -0.0073, 0.0459, -0.0151, 142.2896, 119.6301, 712.0751, -0.0073, 0.0459, -0.0151, 66378
4403.5100, 142.0051, 119.4550, 710.5994, 0.0022, 0.0382, -0.0146, 142.0051, 119.4550, 710.5994, 0.0022, 0.0382, -0.0146, 66379
4403.5267, 142.9414, 119.9293, 714.4541, -0.0040, 0.0455, -0.0174, 142.9414, 119.9293, 714.4541, -0.0040, 0.0455, -0.0174, 66380
4403.5434, 143.3931, 120.1533, 717.0750, 0.0050, 0.0512, -0.0173, 143.3931, 120.1533, 717.0750, 0.0050, 0.0512, -0.0173, 66381
4403.5601, 143.1873, 120.1556, 715.6382, 0.0143, 0.0588, -0.0226, 143.1873, 120.1556, 715.6382, 0.0143, 0.0588, -0.0226, 66382
4403.5767, 142.7794, 120.0230, 714.4819, 0.0119, 0.0565, -0.0169, 142.7794, 120.0230, 714.4819, 0.0119, 0.0565, -0.0169, 66383
4403.5934, 142.6089, 119.9020, 713.6740, -0.0002, 0.0611, -0.0153, 142.6089, 119.9020, 713.6740, -0.0002, 0.0611, -0.0153, 66384
4403.6101, 142.6431, 119.9102, 713.9961, 0.0025, 0.0545, -0.0189, 142.6431, 119.9102, 713.9961, 0.0025, 0.0545, -0.0189, 66385
4403.6268, 142.6515, 119.7604, 714.2750, 0.0124, 0.0572, -0.0149, 142.6515, 119.7604, 714.2750, 0.0124, 0.0572, -0.0149, 66386
4403.6435, 142.4778, 119.9642, 713.2083, 0.0028, 0.0591, -0.0200, 142.4778, 119.9642, 713.2083, 0.0028, 0.0591, -0.0200, 66387
4403.6601, 144.3210, 120.5341, 720.4342, 0.0138, 0.0556, -0.0176, 144.3210, 120.5341, 720.4342, 0.0138, 0.0556, -0.0176, 66388
4403.6768, 142.6903, 119.8419, 713.5281, -0.0032, 0.0703, -0.0188, 142.6903, 119.8419, 713.5281, -0.0032, 0.0703, -0.0188, 66389
4403.6935, 143.6380, 120.4769, 717.6367, 0.0053, 0.0604, -0.0204, 143.6380, 120.4769, 717.6367, 0.0053, 0.0604, -0.0204, 66390
4403.7102, 143.1210, 119.9857, 714.5329, -0.0067, 0.0483, -0.0168, 143.1210, 119.9857, 714.5329, -0.0067, 0.0483, -0.0168, 66391
4403.7269, 141.0671, 119.2260, 705.8040, -0.0175, 0.0525, -0.0217, 141.0671, 119.2260, 705.8040, -0.0175, 0.0525, -0.0217, 66392
4403.7435, 142.8399, 119.9001, 714.0023, 0.0039, 0.0436, -0.0188, 142.8399, 119.9001, 714.0023, 0.0039, 0.0436, -0.0188, 66393
