timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
1126928.361613,4.403786,15.627574,48.234558,-1.957050,15.549040,48.531307,1126928.361596,1126928.312966,0,1243,1,1.374302,15.416992,57.393456,-0.319569,0.009727,0.034599
1126928.375245,4.403180,15.660824,48.231178,-1.957715,15.569146,48.529137,1126928.375213,1126928.329646,0,1244,1,1.415382,15.478281,57.390965,-0.326276,0.013585,0.039769
1126928.392064,4.402998,15.675653,48.230110,-1.959888,15.567810,48.542591,1126928.392028,1126928.346327,0,1245,1,1.419273,15.443573,57.396416,-0.322353,0.015724,0.030684
1126928.408205,4.405081,15.666580,48.247410,-1.959547,15.579650,48.533089,1126928.408189,1126928.363007,0,1246,1,1.469467,15.556298,57.400524,-0.334206,0.020665,0.035244
1126928.423001,4.406832,15.662010,48.253170,-1.959745,15.561681,48.528919,1126928.422984,1126928.379688,0,1247,1,1.447880,15.553844,57.401897,-0.333712,0.017634,0.038197
1126928.439032,4.406038,15.647473,48.259949,-1.962620,15.584187,48.538017,1126928.439015,1126928.396368,0,1248,1,1.392360,15.581771,57.411163,-0.336526,0.012072,0.035552
1126928.454926,4.402263,15.690230,48.270039,-1.964848,15.573331,48.536160,1126928.454910,1126928.413049,0,1249,1,1.471526,15.404989,57.410748,-0.316758,0.020065,0.040483
1126928.470774,4.401024,15.645379,48.266312,-1.966569,15.560018,48.546024,1126928.470758,1126928.429730,0,1250,1,1.467710,15.484189,57.415535,-0.325737,0.020610,0.037405
1126928.487126,4.401023,15.652221,48.288147,-1.965553,15.560661,48.544197,1126928.487110,1126928.446410,0,1251,1,1.368643,15.414962,57.426456,-0.318444,0.008994,0.038358
1126928.503422,4.399095,15.680535,48.294106,-1.968933,15.574821,48.551655,1126928.503405,1126928.463091,0,1252,1,1.435468,15.550653,57.433796,-0.333696,0.017039,0.038731
1126928.519520,4.397236,15.685661,48.296143,-1.968469,15.581432,48.561836,1126928.519504,1126928.479771,0,1253,1,1.454350,15.567640,57.439499,-0.335493,0.019384,0.038170
1126928.535769,4.399993,15.639364,48.329136,-1.965636,15.553055,48.576717,1126928.535754,1126928.496452,0,1254,1,1.449028,15.626724,57.463863,-0.341854,0.019021,0.036365
1126928.551027,4.398926,15.678729,48.342846,-1.970634,15.580507,48.595222,1126928.551011,1126928.513132,0,1255,1,1.415683,15.493636,57.479698,-0.326702,0.014712,0.039089
1126928.566989,4.399297,15.666245,48.347946,-1.969405,15.583349,48.596977,1126928.566973,1126928.529813,0,1256,1,1.384936,15.423320,57.482468,-0.318864,0.011189,0.038037
