current_time,latest_time,latest_x,latest_y,latest_z
1126928.360402100021,1126928.296285089105,-7.158023595810,-5.285821914673,48.552021026611
1126928.364351999946,1126928.312965656165,-7.159203767776,-5.278826713562,48.553112030029
1126928.368327900069,1126928.312965656165,-7.159203767776,-5.278826713562,48.553112030029
1126928.371830800083,1126928.312965656165,-7.159203767776,-5.278826713562,48.553112030029
1126928.376813200070,1126928.329646223225,-7.158592581749,-5.305499076843,48.550271987915
1126928.380842200015,1126928.329646223225,-7.158592581749,-5.305499076843,48.550271987915
1126928.384820400039,1126928.329646223225,-7.158592581749,-5.305499076843,48.550271987915
1126928.388837700011,1126928.329646223225,-7.158592581749,-5.305499076843,48.550271987915
1126928.393865999999,1126928.346326790284,-7.157411456108,-5.312260627747,48.556446075439
1126928.397854600102,1126928.346326790284,-7.157411456108,-5.312260627747,48.556446075439
1126928.401814700104,1126928.346326790284,-7.157411456108,-5.312260627747,48.556446075439
1126928.405802000081,1126928.346326790284,-7.157411456108,-5.312260627747,48.556446075439
1126928.409800800029,1126928.363007357344,-7.158619284630,-5.313652992249,48.560344696045
1126928.414809500100,1126928.363007357344,-7.158619284630,-5.313652992249,48.560344696045
1126928.418736499967,1126928.363007357344,-7.158619284630,-5.313652992249,48.560344696045
1126928.422755399952,1126928.363007357344,-7.158619284630,-5.313652992249,48.560344696045
1126928.426408600062,1126928.379687924404,-7.159386157990,-5.302385091782,48.561166763306
1126928.431087899953,1126928.379687924404,-7.159386157990,-5.302385091782,48.561166763306
1126928.435094400076,1126928.379687924404,-7.159386157990,-5.302385091782,48.561166763306
1126928.439141599927,1126928.396368491463,-7.157544493675,-5.306390047073,48.569093704224
1126928.443489700090,1126928.396368491463,-7.157544493675,-5.306390047073,48.569093704224
1126928.447007799987,1126928.396368491463,-7.157544493675,-5.306390047073,48.569093704224
1126928.451981399907,1126928.396368491463,-7.157544493675,-5.306390047073,48.569093704224
1126928.456030299887,1126928.413049058523,-7.154549360275,-5.322352886200,48.573167800903
1126928.460278399987,1126928.413049058523,-7.154549360275,-5.322352886200,48.573167800903
1126928.463777800091,1126928.413049058523,-7.154549360275,-5.322352886200,48.573167800903
1126928.468804100063,1126928.413049058523,-7.154549360275,-5.322352886200,48.573167800903
1126928.472497799899,1126928.429729625583,-7.153043389320,-5.293279170990,48.576305389404
1126928.476330799982,1126928.429729625583,-7.153043389320,-5.293279170990,48.576305389404
