current_time,latest_time,latest_x,latest_y,latest_z
11334.85964,11334.82889,-6.319064736,4.167429686,72.91122437
11334.86463,11334.82889,-6.319064736,4.167429686,72.91122437
11334.86865,11334.82889,-6.319064736,4.167429686,72.91122437
11334.87263,11334.82889,-6.319064736,4.167429686,72.91122437
11334.87659,11334.82889,-6.319064736,4.167429686,72.91122437
11334.88058,11334.84553,-6.305513978,4.121833086,72.50136185
11334.88557,11334.84553,-6.305513978,4.121833086,72.50136185
11334.88959,11334.84553,-6.305513978,4.121833086,72.50136185
11334.89359,11334.86223,-6.261672616,4.105923891,72.4250679
11334.89757,11334.86223,-6.261672616,4.105923891,72.4250679
11334.90153,11334.86223,-6.261672616,4.105923891,72.4250679
11334.90552,11334.86223,-6.261672616,4.105923891,72.4250679
11334.90951,11334.87912,-6.319901824,4.120024443,72.73416519
11334.9145,11334.87912,-6.319901824,4.120024443,72.73416519
11334.91849,11334.87912,-6.319901824,4.120024443,72.73416519
11334.92248,11334.87912,-6.319901824,4.120024443,72.73416519
11334.92646,11334.87912,-6.319901824,4.120024443,72.73416519
11334.93048,11334.89626,-6.298095107,4.144517183,72.73859787
11334.93545,11334.89626,-6.298095107,4.144517183,72.73859787
11334.93944,11334.89626,-6.298095107,4.144517183,72.73859787
11334.94341,11334.89626,-6.298095107,4.144517183,72.73859787
11334.94741,11334.91224,-6.305551767,4.144104958,72.59365845
11334.95141,11334.91224,-6.305551767,4.144104958,72.59365845
11334.95539,11334.91224,-6.305551767,4.144104958,72.59365845
11334.96037,11334.92948,-6.327613235,4.091786385,72.91457367
11334.96435,11334.92948,-6.327613235,4.091786385,72.91457367
11334.96839,11334.92948,-6.327613235,4.091786385,72.91457367
11334.97235,11334.92948,-6.327613235,4.091786385,72.91457367
11334.97632,11334.94574,-6.304509521,4.098550081,72.71362305
11334.98132,11334.94574,-6.304509521,4.098550081,72.71362305
11334.98534,11334.94574,-6.304509521,4.098550081,72.71362305
11334.98929,11334.94574,-6.304509521,4.098550081,72.71362305
11334.99328,11334.96221,-6.317502618,4.130144119,72.85404205
11334.99727,11334.96221,-6.317502618,4.130144119,72.85404205
11335.00227,11334.96221,-6.317502618,4.130144119,72.85404205
11335.00625,11334.96221,-6.317502618,4.130144119,72.85404205
11335.01023,11334.97888,-6.319878101,4.135576725,73.06832123
11335.01422,11334.97888,-6.319878101,4.135576725,73.06832123
11335.01822,11334.97888,-6.319878101,4.135576725,73.06832123
11335.02221,11334.97888,-6.319878101,4.135576725,73.06832123
11335.02719,11334.9958,-6.314083934,4.113088131,72.48371887
11335.03118,11334.9958,-6.314083934,4.113088131,72.48371887
11335.03517,11334.9958,-6.314083934,4.113088131,72.48371887
11335.03916,11334.9958,-6.314083934,4.113088131,72.48371887
11335.04314,11335.01224,-6.309844375,4.118329525,73.46596909
11335.04713,11335.01224,-6.309844375,4.118329525,73.46596909
11335.05212,11335.01224,-6.309844375,4.118329525,73.46596909
11335.05614,11335.01224,-6.309844375,4.118329525,73.46596909
11335.06017,11335.02974,-6.291733384,4.089900494,72.40210342
11335.06409,11335.02974,-6.291733384,4.089900494,72.40210342
11335.06811,11335.02974,-6.291733384,4.089900494,72.40210342
11335.07207,11335.02974,-6.291733384,4.089900494,72.40210342
11335.07706,11335.04568,-6.301906228,4.12104845,73.14118958
11335.08109,11335.04568,-6.301906228,4.12104845,73.14118958
11335.08506,11335.04568,-6.301906228,4.12104845,73.14118958
11335.08903,11335.04568,-6.301906228,4.12104845,73.14118958
11335.09302,11335.04568,-6.301906228,4.12104845,73.14118958
11335.097,11335.06268,-6.309450507,4.127819777,73.02396774
11335.10199,11335.06268,-6.309450507,4.127819777,73.02396774
