#, timestampMs, accelX, accelY, accelZ, gyroX, gyroY, gyroZ
1, 47375820.261718, 7.025785, -0.465672, 6.854001, 0.000000, 0.000000, 0.000000
2, 47375820.261718, 0.000000, 0.000000, 0.000000, 1.205443, -2.510069, 0.213623
3, 47375822.760885, 0.000000, 0.000000, 0.000000, 1.022338, -2.021788, 0.091553
4, 47375822.760885, 7.001843, -0.451307, 6.818088, 0.000000, 0.000000, 0.000000
5, 47375825.260260, 6.985084, -0.439336, 6.758233, 0.000000, 0.000000, 0.000000
6, 47375825.260260, 0.000000, 0.000000, 0.000000, 0.839233, -1.472472, 0.213623
7, 47375827.759843, 0.000000, 0.000000, 0.000000, 0.717163, -1.075744, 0.366211
8, 47375827.759843, 6.970718, -0.432153, 6.710349, 0.000000, 0.000000, 0.000000
9, 47375830.259999, 6.965930, -0.422577, 6.693589, 0.000000, 0.000000, 0.000000
10, 47375830.259999, 0.000000, 0.000000, 0.000000, 0.534057, -0.343322, 0.183105
11, 47375832.760729, 6.980295, -0.405817, 6.698378, 0.000000, 0.000000, 0.000000
12, 47375832.760729, 0.000000, 0.000000, 0.000000, 0.473022, 0.328064, 0.091553
13, 47375835.261666, 6.994660, -0.393846, 6.698378, 0.000000, 0.000000, 0.000000
14, 47375835.261666, 0.000000, 0.000000, 0.000000, 0.350952, 0.877380, 0.183105
15, 47375837.762812, 6.987478, -0.398635, 6.700772, 0.000000, 0.000000, 0.000000
16, 47375837.762812, 0.000000, 0.000000, 0.000000, 0.350952, 1.579283, 0.122070
17, 47375840.265156, 6.980295, -0.384269, 6.705560, 0.000000, 0.000000, 0.000000
18, 47375840.265156, 0.000000, 0.000000, 0.000000, 0.503540, 2.128599, 0.274658
19, 47375842.768385, 6.977901, -0.393846, 6.748656, 0.000000, 0.000000, 0.000000
20, 47375842.768385, 0.000000, 0.000000, 0.000000, 0.503540, 2.647398, 0.152588
21, 47375845.270104, 6.989872, -0.391452, 6.760627, 0.000000, 0.000000, 0.000000
22, 47375845.270104, 0.000000, 0.000000, 0.000000, 0.442505, 3.166196, 0.183105
23, 47375847.770520, 0.000000, 0.000000, 0.000000, 0.503540, 3.654477, 0.183105
24, 47375847.770520, 6.989872, -0.389058, 6.784569, 0.000000, 0.000000, 0.000000
25, 47375850.272031, 6.997055, -0.393846, 6.830059, 0.000000, 0.000000, 0.000000
26, 47375850.272031, 0.000000, 0.000000, 0.000000, 0.625610, 4.112240, 0.183105
27, 47375852.772552, 7.011420, -0.391452, 6.870760, 0.000000, 0.000000, 0.000000
28, 47375852.772552, 0.000000, 0.000000, 0.000000, 0.717163, 4.356381, 0.183105
29, 47375855.270989, 7.013814, -0.374693, 6.911462, 0.000000, 0.000000, 0.000000
30, 47375855.270989, 0.000000, 0.000000, 0.000000, 0.686645, 4.631039, 0.061035
31, 47375857.769479, 0.000000, 0.000000, 0.000000, 0.778198, 4.783627, 0.061035
32, 47375857.769479, 7.016208, -0.369904, 6.949769, 0.000000, 0.000000, 0.000000
33, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
34, 47375860.269114, 7.004237, -0.360327, 6.992865, 0.000000, 0.000000, 0.000000
35, 47375862.769895, 6.985084, -0.353145, 7.031172, 0.000000, 0.000000, 0.000000
36, 47375862.769895, 0.000000, 0.000000, 0.000000, 0.930785, 4.936214, -0.244140
37, 47375865.270781, 0.000000, 0.000000, 0.000000, 1.083373, 4.936214, -0.213623
38, 47375865.270781, 6.975507, -0.341174, 7.052720, 0.000000, 0.000000, 0.000000
39, 47375867.771718, 6.970718, -0.319626, 7.091027, 0.000000, 0.000000, 0.000000
40, 47375867.771718, 0.000000, 0.000000, 0.000000, 0.991821, 4.875179, -0.305176
41, 47375870.273697, 0.000000, 0.000000, 0.000000, 1.113891, 4.783627, -0.457763
42, 47375870.273697, 6.997055, -0.317232, 7.126940, 0.000000, 0.000000, 0.000000
43, 47375872.775364, 6.970718, -0.312443, 7.148488, 0.000000, 0.000000, 0.000000
44, 47375872.775364, 0.000000, 0.000000, 0.000000, 1.174926, 4.539486, -0.427246
45, 47375875.275677, 6.963536, -0.312443, 7.155670, 0.000000, 0.000000, 0.000000
46, 47375875.275677, 0.000000, 0.000000, 0.000000, 1.327514, 4.478451, -0.640869
47, 47375877.775989, 6.958747, -0.317232, 7.165247, 0.000000, 0.000000, 0.000000
48, 47375877.775989, 0.000000, 0.000000, 0.000000, 1.388549, 4.295346, -0.701904
49, 47375880.277343, 6.949171, -0.317232, 7.201160, 0.000000, 0.000000, 0.000000
50, 47375880.277343, 0.000000, 0.000000, 0.000000, 1.388549, 4.020688, -0.732421
51, 47375882.777968, 6.956353, -0.302867, 7.210737, 0.000000, 0.000000, 0.000000
52, 47375882.777968, 0.000000, 0.000000, 0.000000, 1.480101, 3.868100, -0.854492
53, 47375885.276822, 0.000000, 0.000000, 0.000000, 1.571654, 3.746030, -0.732421
54, 47375885.276822, 6.951565, -0.333991, 7.189189, 0.000000, 0.000000, 0.000000
55, 47375887.775729, 6.932411, -0.310049, 7.201160, 0.000000, 0.000000, 0.000000
56, 47375887.775729, 0.000000, 0.000000, 0.000000, 1.693724, 3.410337, -0.701904
57, 47375890.275677, 6.934805, -0.302867, 7.198766, 0.000000, 0.000000, 0.000000
58, 47375890.275677, 0.000000, 0.000000, 0.000000, 1.754759, 3.105161, -0.610351
59, 47375892.776614, 6.925229, -0.317232, 7.201160, 0.000000, 0.000000, 0.000000
60, 47375892.776614, 0.000000, 0.000000, 0.000000, 1.876830, 2.922056, -0.671386
61, 47375895.277552, 0.000000, 0.000000, 0.000000, 1.815794, 2.555845, -0.701904
62, 47375895.277552, 6.930017, -0.310049, 7.215525, 0.000000, 0.000000, 0.000000
63, 47375897.778489, 0.000000, 0.000000, 0.000000, 1.937865, 2.433775, -0.610351
64, 47375897.778489, 6.913258, -0.300472, 7.210737, 0.000000, 0.000000, 0.000000
65, 47375900.280416, 0.000000, 0.000000, 0.000000, 2.059935, 2.189635, -0.793456
66, 47375900.280416, 6.898892, -0.317232, 7.203554, 0.000000, 0.000000, 0.000000
67, 47375902.781510, 0.000000, 0.000000, 0.000000, 2.151488, 1.792906, -0.579834
68, 47375902.781510, 6.891710, -0.322020, 7.208343, 0.000000, 0.000000, 0.000000
69, 47375905.280781, 6.877345, -0.317232, 7.208343, 0.000000, 0.000000, 0.000000
70, 47375905.280781, 0.000000, 0.000000, 0.000000, 2.182005, 1.701354, -0.732421
71, 47375907.780052, 0.000000, 0.000000, 0.000000, 2.273558, 1.487731, -0.671386
72, 47375907.780052, 6.870162, -0.355539, 7.191583, 0.000000, 0.000000, 0.000000
73, 47375910.280416, 6.889316, -0.360327, 7.182006, 0.000000, 0.000000, 0.000000
74, 47375910.280416, 0.000000, 0.000000, 0.000000, 2.334593, 1.396178, -0.518798
75, 47375912.781874, 0.000000, 0.000000, 0.000000, 2.334593, 1.152038, -0.579834
76, 47375912.781874, 6.910863, -0.355539, 7.174824, 0.000000, 0.000000, 0.000000
77, 47375915.283072, 6.910863, -0.377087, 7.189189, 0.000000, 0.000000, 0.000000
78, 47375915.283072, 0.000000, 0.000000, 0.000000, 2.365111, 0.938415, -0.427246
79, 47375917.783749, 0.000000, 0.000000, 0.000000, 2.548216, 0.846862, -0.640869
80, 47375917.783749, 6.896498, -0.386664, 7.174824, 0.000000, 0.000000, 0.000000
81, 47375920.285208, 0.000000, 0.000000, 0.000000, 2.395628, 0.785827, -0.457763
82, 47375920.285208, 6.898892, -0.408211, 7.160459, 0.000000, 0.000000, 0.000000
83, 47375922.785729, 6.896498, -0.396240, 7.165247, 0.000000, 0.000000, 0.000000
84, 47375922.785729, 0.000000, 0.000000, 0.000000, 2.517698, 0.633239, -0.488281
85, 47375925.284270, 6.906075, -0.389058, 7.153276, 0.000000, 0.000000, 0.000000
86, 47375925.284270, 0.000000, 0.000000, 0.000000, 2.639768, 0.541687, -0.427246
87, 47375927.782864, 6.901287, -0.401029, 7.119757, 0.000000, 0.000000, 0.000000
88, 47375927.782864, 0.000000, 0.000000, 0.000000, 2.639768, 0.389099, -0.549316
89, 47375930.282499, 6.913258, -0.377087, 7.136517, 0.000000, 0.000000, 0.000000
90, 47375930.282499, 0.000000, 0.000000, 0.000000, 2.609251, 0.358581, -0.457763
91, 47375932.783177, 6.922834, -0.372298, 7.124546, 0.000000, 0.000000, 0.000000
92, 47375932.783177, 0.000000, 0.000000, 0.000000, 2.670286, 0.419616, -0.671386
93, 47375935.283958, 0.000000, 0.000000, 0.000000, 2.700804, 0.236511, -0.762939
94, 47375935.283958, 6.922834, -0.355539, 7.110180, 0.000000, 0.000000, 0.000000
95, 47375937.784843, 0.000000, 0.000000, 0.000000, 2.578733, 0.358581, -0.610351
