#, cameraTimestamp, renderStartTimestamp
1, 47375794.498286, 47375834.822333
2, 47375805.603547, 47375850.989885
3, 47375827.814068, 47375867.702645
4, 47375850.024536, 47375884.299260
5, 47375861.129797, 47375900.973114
6, 47375872.235057, 47375917.742020
7, 47375894.445578, 47375935.424937
8, 47375905.550786, 47375950.979885
9, 47375927.761307, 47375967.795510
10, 47375949.971828, 47375984.319312
11, 47375961.077036, 47376001.003791
12, 47375972.182297, 47376018.170822
13, 47375994.392818, 47376034.340458
14, 47376005.498078, 47376050.993322
15, 47376027.708547, 47376067.682801
16, 47376049.919068, 47376084.330614
17, 47376061.024276, 47376101.007229
18, 47376072.129536, 47376117.727541
19, 47376094.340057, 47376134.879729
20, 47376105.445318, 47376151.033374
21, 47376127.655786, 47376167.668010
22, 47376149.866307, 47376184.627593
23, 47376160.971568, 47376201.081760
24, 47376172.076828, 47376217.659729
25, 47376194.287297, 47376234.603583
26, 47376205.392557, 47376251.133218
27, 47376227.603078, 47376267.623426
28, 47376249.813547, 47376284.562801
29, 47376260.918807, 47376300.987124
30, 47376272.024068, 47376318.410197
31, 47376294.234536, 47376334.434833
32, 47376305.339797, 47376351.167489
33, 47376327.550318, 47376367.698426
34, 47376349.760786, 47376384.326916
35, 47376360.866047, 47376401.075301
36, 47376371.971307, 47376417.871916
37, 47376394.181776, 47376434.613895
38, 47376405.287036, 47376450.980562
39, 47376427.497557, 47376467.633947
40, 47376449.708078, 47376484.512593
41, 47376460.813286, 47376500.978322
42, 47376471.918547, 47376517.767489
43, 47376494.129068, 47376534.321916
44, 47376505.234276, 47376551.054312
45, 47376527.444797, 47376567.607333
46, 47376538.550057, 47376584.317645
47, 47376560.760578, 47376601.018062
48, 47376571.865786, 47376617.690926
49, 47376594.076307, 47376634.284728
50, 47376616.286828, 47376651.399885
51, 47376627.392036, 47376667.630770
52, 47376638.497297, 47376684.414364
53, 47376660.707818, 47376701.086187
54, 47376671.813078, 47376717.718791
55, 47376694.023547, 47376734.426343
56, 47376716.234068, 47376750.981135
57, 47376727.339276, 47376767.668895
58, 47376738.444536, 47376784.489728
59, 47376760.655057, 47376801.139312
60, 47376771.760318, 47376817.636395
61, 47376793.970786, 47376834.350197
62, 47376816.181307, 47376850.931864
63, 47376827.286568, 47376867.648843
64, 47376838.391828, 47376884.615978
65, 47376860.602297, 47376901.285457
66, 47376871.707557, 47376918.334937
67, 47376893.918078, 47376934.243218
68, 47376916.128547, 47376951.177384
69, 47376927.233807, 47376967.650509
70, 47376938.339068, 47376984.556343
71, 47376960.549536, 47377001.095822
72, 47376971.654797, 47377017.736499
73, 47376993.865318, 47377034.321187
74, 47377016.075786, 47377051.108739
75, 47377027.181047, 47377068.103114
76, 47377038.286307, 47377084.408843
77, 47377060.496828, 47377100.935509
78, 47377071.602036, 47377118.431499
79, 47377093.812557, 47377134.551655
80, 47377116.023078, 47377151.112020
81, 47377127.128286, 47377167.690926
82, 47377138.233547, 47377184.625197
83, 47377160.444068, 47377201.215197
84, 47377171.549276, 47377218.287645
85, 47377193.759797, 47377234.550405
86, 47377215.970318, 47377251.249468
87, 47377227.075578, 47377268.028426
88, 47377238.180786, 47377284.357957
89, 47377260.391307, 47377301.439936
90, 47377271.496568, 47377317.619416
91, 47377293.707036, 47377334.360405
92, 47377315.917557, 47377351.232593
93, 47377327.022818, 47377367.588947
94, 47377338.128078, 47377384.236863
95, 47377360.338547, 47377400.916968
96, 47377371.443807, 47377417.661343
97, 47377393.654276, 47377434.355353
98, 47377415.864797, 47377450.932384
99, 47377426.970057, 47377467.589051
100, 47377438.075318, 47377484.479832
101, 47377460.285786, 47377501.454155
102, 47377471.391047, 47377518.753843
103, 47377493.601568, 47377534.389936
104, 47377515.812036, 47377550.951499
105, 47377526.917297, 47377567.646551
106, 47377538.022557, 47377584.310405
107, 47377560.233078, 47377600.916707
108, 47377571.338286, 47377617.573843
109, 47377593.548807, 47377634.303686
110, 47377615.759276, 47377651.614468
111, 47377626.864536, 47377667.554676
112, 47377637.969797, 47377684.247176
113, 47377660.180318, 47377700.916915
114, 47377671.285578, 47377717.566603
115, 47377693.496047, 47377734.290509
116, 47377715.706568, 47377750.876082
117, 47377726.811776, 47377767.673270
118, 47377737.917036, 47377784.418895
119, 47377760.127557, 47377800.948061
120, 47377771.232818, 47377818.422228
121, 47377793.443286, 47377834.254624
122, 47377815.653807, 47377850.879103
123, 47377826.759068, 47377867.644051
124, 47377837.864328, 47377884.284936
125, 47377860.074797, 47377900.934415
126, 47377871.180057, 47377917.611447
127, 47377893.390578, 47377935.128634
128, 47377915.601047, 47377950.997124
129, 47377926.706307, 47377967.600509
130, 47377937.811568, 47377984.262749
131, 47377960.022036, 47378000.918999
132, 47377971.127297, 47378017.614624
133, 47377993.337818, 47378034.234051
134, 47378015.548286, 47378050.882801
135, 47378026.653547, 47378067.566238
136, 47378037.758807, 47378084.393686
137, 47378059.969328, 47378101.733686
138, 47378071.074536, 47378117.564519
139, 47378093.285057, 47378134.345457
140, 47378115.495578, 47378150.945353
141, 47378126.600786, 47378167.659832
142, 47378137.706047, 47378184.317540
143, 47378159.916568, 47378200.891238
144, 47378171.021776, 47378217.637540
145, 47378193.232297, 47378234.675196
146, 47378215.442818, 47378251.396603
147, 47378226.548078, 47378267.569780
148, 47378237.653286, 47378284.251030
149, 47378259.863807, 47378300.942071
150, 47378270.969068, 47378317.581238
151, 47378293.179536, 47378334.232957
152, 47378315.390057, 47378350.905457
153, 47378326.495318, 47378367.623790
154, 47378337.600578, 47378384.257228
