#, cameraTimestamp, cameraDelay, blinkProcTime, fx, fy, cx, cy, width, height, leftEyeX, leftEyeY, rightEyeX, rightEyeY, headPoseX, headPoseY, headPoseZ, headAngleX, headAngleY, headAngleZ, leftEye3DX, leftEye3DY, leftEye3DZ, rightEye3DX, rightEye3DY, rightEye3DZ, lux, deviceAccelerationX, deviceAccelerationY, deviceAccelerationZ, deviceGyrscopeX, deviceGyrscopeY, deviceGyrscopeZ
599, 47382424.332557, 31.377325, 4.942396, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 291.172760, 255.151619, 342.164520, 254.908951, 3.475207, 57.751854, 426.916595, -0.171546, -0.025864, 0.021773, 17.918249, -26.595079, 415.338959, 18.277554, 34.718140, 416.881989, 343.861206, 1.106353, 1.106353, 1.106353, 0.066845, 0.022770, -0.052198
600, 47382435.437818, 30.938210, 5.044479, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 291.634430, 255.920258, 342.618561, 255.340836, 3.243746, 58.255497, 428.176453, -0.193353, -0.029663, 0.018935, 18.519442, -27.260780, 417.189148, 19.302107, 34.335274, 418.994873, 343.861206, 1.259342, 1.259342, 1.259342, 0.057258, -0.102931, -0.046339
601, 47382446.543078, 30.661700, 5.026406, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 291.625854, 255.771530, 342.431458, 255.035095, 3.000448, 58.155228, 428.401459, -0.170981, -0.037199, 0.024368, 18.114477, -26.981840, 416.364594, 19.105980, 34.317265, 418.648529, 343.861206, 1.142106, 1.142106, 1.142106, 0.046605, -0.188152, -0.035686
602, 47382457.648286, 32.594721, 5.104635, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.147430, 255.373161, 342.897461, 254.896744, 2.475978, 57.843002, 428.841064, -0.176489, -0.027648, 0.020690, 17.987425, -27.603197, 417.284027, 18.636818, 33.710732, 418.950439, 343.883545, 0.796745, 0.796745, 0.796745, 0.037018, -0.244611, -0.020773
603, 47382468.753547, 31.798627, 4.920209, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.130890, 255.103874, 343.076126, 254.198975, 2.243992, 56.966743, 429.069214, -0.199276, -0.031394, 0.027390, 17.183582, -27.881367, 418.225861, 18.360104, 33.822388, 420.088562, 343.883545, 0.345856, 0.345856, 0.345856, 0.030094, -0.262188, -0.015979
604, 47382479.858807, 31.004461, 4.886042, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.182510, 253.848328, 343.471725, 253.117775, 2.153265, 55.559376, 427.224915, -0.199258, -0.040562, 0.024553, 15.796728, -28.219316, 416.160797, 16.776325, 33.644321, 418.652374, 343.883545, 0.095429, 0.095429, 0.095429, 0.025833, -0.237687, -0.015979
605, 47382490.964068, 29.480554, 5.094583, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.777374, 252.751289, 342.977112, 252.234146, 2.203805, 54.386833, 429.644653, -0.184611, -0.043468, 0.021483, 14.791475, -27.734970, 417.822662, 15.516794, 33.072899, 420.534821, 343.883545, 0.100119, 0.100119, 0.100119, 0.020506, -0.200935, -0.017577
606, 47382502.069328, 28.911075, 5.131198, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.070908, 251.509109, 343.216507, 250.999313, 1.848253, 53.015553, 430.747162, -0.187555, -0.025691, 0.020405, 13.353769, -28.140358, 419.558441, 14.023775, 32.759651, 421.092285, 343.883545, 0.072377, 0.072377, 0.072377, 0.014647, -0.174304, -0.018642
607, 47382513.174536, 28.270815, 4.923906, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.759933, 250.925171, 343.782654, 250.214066, 1.689336, 51.690342, 429.399200, -0.196302, -0.033207, 0.022759, 12.364861, -28.743876, 418.354767, 13.289427, 33.081142, 420.370331, 343.883545, 0.204789, 0.204789, 0.204789, 0.011452, -0.174836, -0.011185
608, 47382524.279796, 25.993576, 4.863125, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.280624, 249.428719, 343.624878, 249.058754, 1.725948, 50.486629, 429.696381, -0.186146, -0.036219, 0.015561, 10.960756, -28.538822, 418.144318, 11.470218, 32.451862, 420.409973, 343.868439, 0.360495, 0.360495, 0.360495, 0.008788, -0.203066, -0.003728
609, 47382535.385057, 25.714357, 4.718072, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.101089, 248.565903, 343.739883, 248.325455, 1.480892, 49.349144, 429.914246, -0.178191, -0.026754, 0.018057, 10.079305, -28.694300, 418.385620, 10.410609, 32.638638, 420.007538, 343.868439, 0.342216, 0.342216, 0.342216, 0.007723, -0.242481, 0.004794
610, 47382546.490318, 34.218471, 5.480469, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.263779, 247.438141, 343.726959, 247.253380, 1.669419, 47.960541, 429.726440, -0.177960, -0.034183, 0.015335, 8.772115, -28.648405, 417.943970, 9.041479, 32.446617, 420.077179, 343.868439, 0.282901, 0.282901, 0.282901, -0.015713, -0.263786, 0.030360
