frameCounter, trackingStatus, timeLogged, frameNumber
1856,2,714303.7394, 5625
1857,2,714303.7544, 5626
1858,2,714303.7717, 5627
1859,2,714303.7886, 5628
1860,2,714303.8044, 5629
1861,2,714303.8187, 5630
1862,2,714303.8362, 5631
1863,2,714303.8518, 5632
1864,2,714303.8698, 5633
1865,2,714303.8853, 5634
1866,2,714303.9141, 5635
1867,2,714303.9301, 5636
1868,2,714303.9464, 5637
1869,2,714303.9625, 5638
1870,2,714303.9816, 5639
1871,2,714303.9983, 5640
1872,2,714304.0132, 5641
1873,2,714304.0288, 5642
1874,2,714304.0433, 5643
1875,2,714304.0596, 5644
1876,2,714304.0778, 5645
1877,2,714304.0938, 5646
1878,2,714304.1082, 5647
1879,2,714304.1231, 5648
1880,2,714304.1384, 5649
1881,2,714304.1553, 5650
1882,2,714304.1713, 5651
1883,2,714304.1892, 5652
1884,2,714304.2036, 5653
1885,2,714304.2190, 5654
1886,2,714304.2351, 5655
1887,2,714304.2525, 5656
1888,2,714304.2682, 5657
1889,2,714304.2871, 5658
1890,2,714304.3183, 5659
1891,2,714304.3340, 5660
1892,2,714304.3487, 5661
1893,2,714304.3650, 5662
1894,2,714304.3819, 5663
1895,2,714304.3970, 5664
1896,2,714304.4115, 5665
1897,2,714304.4275, 5666
1898,2,714304.4434, 5667
1899,2,714304.4583, 5668
1900,2,714304.4767, 5669
1901,2,714304.4950, 5670
1902,2,714304.5085, 5671
1903,2,714304.5229, 5672
1904,2,714304.5392, 5673
1905,2,714304.5548, 5674
1906,2,714304.5717, 5675
1907,2,714304.5865, 5676
1908,2,714304.6025, 5677
1909,2,714304.6185, 5678
1910,2,714304.6350, 5679
1911,2,714304.6515, 5680
1912,2,714304.6676, 5681
1913,2,714304.6996, 5682
1914,2,714304.7175, 5683
1915,2,714304.7328, 5684
1916,2,714304.7484, 5685
1917,2,714304.7625, 5686
1918,2,714304.7782, 5687
1919,2,714304.7945, 5688
1920,2,714304.8128, 5689
1921,2,714304.8271, 5690
1922,2,714304.8431, 5691
1923,2,714304.8600, 5692
1924,2,714304.8756, 5693
1925,2,714304.8939, 5694
1926,2,714304.9086, 5695
1927,2,714304.9266, 5696
1928,2,714304.9436, 5697
1929,2,714304.9551, 5698
1930,2,714304.9721, 5699
1931,2,714304.9871, 5700
1932,2,714305.0040, 5701
1933,2,714305.0184, 5702
1934,2,714305.0370, 5703
1935,2,714305.0514, 5704
1936,2,714305.0670, 5705
1937,2,714305.0992, 5706
1938,2,714305.1162, 5707
1939,2,714305.1339, 5708
1940,2,714305.1468, 5709
1941,2,714305.1627, 5710
1942,2,714305.1817, 5711
1943,2,714305.1948, 5712
1944,2,714305.2119, 5713
1945,2,714305.2277, 5714
1946,2,714305.2452, 5715
1947,2,714305.2599, 5716
1948,2,714305.2763, 5717
1949,2,714305.2932, 5718
1950,2,714305.3079, 5719
1951,2,714305.3236, 5720
1952,2,714305.3403, 5721
1953,2,714305.3576, 5722
1954,2,714305.3740, 5723
1955,2,714305.3876, 5724
1956,2,714305.4028, 5725
1957,2,714305.4189, 5726
1958,2,714305.4342, 5727
1959,2,714305.4500, 5728
1960,2,714305.4845, 5729
1961,2,714305.5022, 5730
1962,2,714305.5158, 5731
1963,2,714305.5313, 5732
1964,2,714305.5487, 5733
1965,2,714305.5648, 5734
1966,2,714305.5798, 5735
1967,2,714305.5956, 5736
1968,2,714305.6113, 5737
1969,2,714305.6261, 5738
1970,2,714305.6425, 5739
1971,2,714305.6595, 5740
1972,2,714305.6761, 5741
1973,2,714305.6927, 5742
1974,2,714305.7098, 5743
1975,2,714305.7258, 5744
1976,2,714305.7423, 5745
1977,2,714305.7584, 5746
1978,2,714305.7732, 5747
1979,2,714305.7889, 5748
1980,2,714305.8041, 5749
1981,2,714305.8206, 5750
1982,2,714305.8363, 5751
1983,2,714305.8510, 5752
1984,2,714305.8828, 5753
1985,2,714305.8987, 5754
1986,2,714305.9143, 5755
1987,2,714305.9302, 5756
1988,2,714305.9472, 5757
1989,2,714305.9628, 5758
1990,2,714305.9799, 5759
1991,2,714305.9979, 5760
1992,2,714306.0116, 5761
1993,2,714306.0265, 5762
1994,2,714306.0433, 5763
1995,2,714306.0585, 5764
1996,2,714306.0760, 5765
1997,2,714306.0923, 5766
1998,2,714306.1083, 5767
1999,2,714306.1243, 5768
2000,2,714306.1398, 5769
2001,2,714306.1548, 5770
2002,2,714306.1735, 5771
2003,2,714306.1879, 5772
2004,2,714306.2033, 5773
2005,2,714306.2179, 5774
2006,2,714306.2342, 5775
2007,2,714306.2664, 5776
2008,2,714306.2830, 5777
2009,2,714306.2995, 5778
2010,2,714306.3161, 5779
2011,2,714306.3310, 5780
2012,2,714306.3471, 5781
2013,2,714306.3641, 5782
2014,2,714306.3809, 5783
2015,2,714306.3976, 5784
2016,2,714306.4129, 5785
2017,2,714306.4277, 5786
2018,2,714306.4436, 5787
2019,2,714306.4596, 5788
2020,2,714306.4772, 5789
2021,2,714306.4911, 5790
2022,2,714306.5064, 5791
2023,2,714306.5243, 5792
2024,2,714306.5418, 5793
2025,2,714306.5594, 5794
2026,2,714306.5721, 5795
2027,2,714306.5886, 5796
2028,2,714306.6060, 5797
2029,2,714306.6217, 5798
2030,2,714306.6354, 5799
2031,2,714306.6667, 5800
2032,2,714306.6838, 5801
2033,2,714306.6998, 5802
2034,2,714306.7170, 5803
2035,2,714306.7347, 5804
2036,2,714306.7506, 5805
2037,2,714306.7651, 5806
2038,2,714306.7815, 5807
2039,2,714306.7981, 5808
2040,2,714306.8123, 5809
2041,2,714306.8301, 5810
2042,2,714306.8451, 5811
2043,2,714306.8607, 5812
2044,2,714306.8744, 5813
2045,2,714306.8922, 5814
2046,2,714306.9069, 5815
2047,2,714306.9252, 5816
2048,2,714306.9404, 5817
2049,2,714306.9583, 5818
2050,2,714306.9762, 5819
2051,2,714306.9906, 5820
2052,2,714307.0067, 5821
2053,2,714307.0237, 5822
2054,2,714307.0371, 5823
2055,2,714307.0688, 5824
2056,2,714307.0860, 5825
2057,2,714307.1011, 5826
2058,2,714307.1172, 5827
2059,2,714307.1325, 5828
2060,2,714307.1481, 5829
2061,2,714307.1642, 5830
2062,2,714307.1806, 5831
2063,2,714307.1955, 5832
2064,2,714307.2137, 5833
2065,2,714307.2328, 5834
2066,2,714307.2467, 5835
2067,2,714307.2630, 5836
2068,2,714307.2787, 5837
2069,2,714307.2929, 5838
2070,2,714307.3083, 5839
2071,2,714307.3267, 5840
