CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
519357.1242, 134.6547, 21.0537, 557.6467, 0.1702, 0.0630, 0.1359, 134.6547, 21.0537, 557.6467, 0.1702, 0.0630, 0.1359, 1048
519357.1409, 134.7489, 21.0406, 555.6505, 0.1558, 0.0614, 0.1391, 134.7489, 21.0406, 555.6505, 0.1558, 0.0614, 0.1391, 1049
519357.1576, 134.9353, 21.0550, 554.3802, 0.1651, 0.0526, 0.1337, 134.9353, 21.0550, 554.3802, 0.1651, 0.0526, 0.1337, 1050
519357.1743, 134.3365, 21.1140, 553.2721, 0.1543, 0.0527, 0.1425, 134.3365, 21.1140, 553.2721, 0.1543, 0.0527, 0.1425, 1051
519357.1910, 134.8563, 20.9199, 556.1902, 0.1612, 0.0730, 0.1369, 134.8563, 20.9199, 556.1902, 0.1612, 0.0730, 0.1369, 1052
519357.2077, 134.0099, 21.0888, 554.4188, 0.1392, 0.0603, 0.1390, 134.0099, 21.0888, 554.4188, 0.1392, 0.0603, 0.1390, 1053
519357.2244, 132.9134, 21.0898, 554.2159, 0.1516, 0.0638, 0.1385, 132.9134, 21.0898, 554.2159, 0.1516, 0.0638, 0.1385, 1054
519357.2410, 132.5871, 20.9961, 555.7113, 0.1457, 0.0549, 0.1337, 132.5871, 20.9961, 555.7113, 0.1457, 0.0549, 0.1337, 1055
519357.2577, 130.7857, 20.9491, 554.9717, 0.1792, 0.0501, 0.1360, 130.7857, 20.9491, 554.9717, 0.1792, 0.0501, 0.1360, 1056
519357.2744, 130.1543, 20.6863, 558.5434, 0.1633, 0.0542, 0.1381, 130.1543, 20.6863, 558.5434, 0.1633, 0.0542, 0.1381, 1057
519357.2911, 128.8171, 20.6681, 558.3795, 0.1672, 0.0525, 0.1338, 128.8171, 20.6681, 558.3795, 0.1672, 0.0525, 0.1338, 1058
519357.3078, 126.2702, 20.7088, 557.5975, 0.1602, 0.0527, 0.1361, 126.2702, 20.7088, 557.5975, 0.1602, 0.0527, 0.1361, 1059
519357.3245, 123.9861, 20.2162, 556.0641, 0.1651, 0.0379, 0.1319, 123.9861, 20.2162, 556.0641, 0.1651, 0.0379, 0.1319, 1060
