Current_time,Latest_data_timestamp
519356.089219500,519356.032200773
519356.093171100,519356.032200773
519356.096630300,519356.032200773
519356.101413600,519356.032200773
519356.105131800,519356.032200773
519356.110122400,519356.065561907
519356.113398900,519356.065561907
519356.117908000,519356.065561907
519356.122746600,519356.065561907
519356.126764400,519356.065561907
519356.130707100,519356.082242474
519356.134687500,519356.082242474
519356.138695700,519356.082242474
519356.142679500,519356.098923042
519356.147660100,519356.098923042
519356.150945800,519356.098923042
519356.155806300,519356.098923042
519356.159486200,519356.115603609
519356.163798500,519356.115603609
519356.167095900,519356.115603609
519356.172246400,519356.115603609
519356.175903100,519356.132284176
519356.181235400,519356.132284176
519356.185400800,519356.132284176
519356.189456300,519356.148964743
519356.193766200,519356.148964743
519356.198032500,519356.148964743
519356.201771200,519356.148964743
519356.205609500,519356.148964743
519356.209139400,519356.148964743
519356.213779000,519356.148964743
519356.217331800,519356.165645310
519356.221632800,519356.182325877
519356.226136000,519356.182325877
519356.230488300,519356.182325877
519356.234469500,519356.182325877
519356.239424000,519356.199006444
519356.243463200,519356.199006444
519356.246707300,519356.199006444
519356.251781300,519356.199006444
519356.255674900,519356.215687011
519356.258969500,519356.215687011
519356.264154800,519356.215687011
519356.267560900,519356.215687011
519356.271843900,519356.232367578
519356.277096500,519356.232367578
519356.280531200,519356.232367578
519356.284099600,519356.232367578
519356.288785200,519356.249048146
519356.292580100,519356.249048146
519356.297423600,519356.249048146
519356.301411000,519356.249048146
519356.304894400,519356.265728713
519356.310193600,519356.265728713
519356.314211300,519356.265728713
519356.318246500,519356.265728713
519356.322204600,519356.282409280
519356.326099400,519356.282409280
519356.331172500,519356.282409280
519356.334116900,519356.282409280
519356.339333400,519356.299089847
519356.343153700,519356.299089847
519356.347103700,519356.299089847
519356.351299100,519356.315770414
519356.355076900,519356.315770414
519356.360054900,519356.315770414
519356.364053100,519356.315770414
519356.367380400,519356.332450981
519356.372046700,519356.332450981
519356.376240100,519356.332450981
519356.380254800,519356.332450981
519356.384583200,519356.332450981
519356.388362500,519356.332450981
519356.393292100,519356.332450981
519356.397967400,519356.332450981
519356.401924800,519356.332450981
519356.405933900,519356.332450981
519356.409600900,519356.332450981
519356.413565000,519356.332450981
519356.417898600,519356.332450981
519356.421562800,519356.332450981
519356.426544500,519356.332450981
519356.430501000,519356.332450981
519356.434181300,519356.332450981
519356.439381500,519356.332450981
519356.443437300,519356.332450981
519356.447558500,519356.332450981
519356.451540000,519356.332450981
519356.454749100,519356.399481101
519356.459816700,519356.399481101
519356.463935200,519356.416168627
519356.468018100,519356.416168627
519356.471972100,519356.416168627
519356.476460400,519356.416168627
519356.480460100,519356.432856153
519356.484457500,519356.432856153
519356.489588900,519356.432856153
519356.493523000,519356.449543679
519356.496785600,519356.449543679
519356.501979700,519356.449543679
519356.505867400,519356.449543679
519356.509861900,519356.466231205
519356.513184700,519356.466231205
519356.517702800,519356.466231205
519356.522355700,519356.466231205
519356.526335500,519356.482918731
519356.529711500,519356.482918731
519356.534576400,519356.482918731
519356.538579100,519356.482918731
519356.543717300,519356.499606257
519356.547105000,519356.499606257
519356.550996600,519356.499606257
519356.555969700,519356.499606257
519356.560126100,519356.516293783
519356.564124500,519356.516293783
519356.567464100,519356.516293783
519356.572462300,519356.516293783
519356.576448800,519356.532981310
519356.580050400,519356.532981310
519356.584964200,519356.532981310
519356.593406900,519356.549668836
519356.598371200,519356.549668836
519356.603345600,519356.549668836
519356.607029700,519356.566356362
519356.610552100,519356.566356362
519356.615532200,519356.566356362
519356.619531900,519356.566356362
519356.623439200,519356.583043888
519356.627503200,519356.583043888
519356.632488400,519356.583043888
519356.636469800,519356.583043888
519356.640651400,519356.599731414
519356.644429800,519356.599731414
519356.648509100,519356.599731414
519356.652537700,519356.599731414
519356.657547500,519356.616418940
519356.661126300,519356.616418940
519356.665266900,519356.616418940
519356.669222300,519356.633106466
519356.674259700,519356.633106466
519356.677833400,519356.633106466
519356.681808300,519356.633106466
519356.686810300,519356.649793992
519356.690801300,519356.649793992
519356.694754400,519356.649793992
519356.698323900,519356.649793992
519356.703293400,519356.666481518
519356.706791700,519356.666481518
519356.712002200,519356.666481518
519356.715993500,519356.666481518
519356.720170900,519356.683169044
519356.724129300,519356.683169044
519356.727964300,519356.683169044
519356.731925500,519356.683169044
519356.735914500,519356.699856570
519356.740111000,519356.699856570
519356.744844100,519356.699856570
519356.748953400,519356.699856570
519356.752904200,519356.716544096
519356.756321700,519356.716544096
519356.761631300,519356.716544096
519356.765657100,519356.733231622
519356.769008100,519356.733231622
519356.773607500,519356.733231622
519356.776862700,519356.733231622
519356.781814100,519356.733231622
519356.786236400,519356.733231622
519356.789540200,519356.733231622
519356.794579200,519356.733231622
519356.798579900,519356.749919149
519356.802902000,519356.749919149
519356.806795200,519356.749919149
519356.811796300,519356.749919149
519356.815160600,519356.766247822
519356.818563900,519356.766247822
519356.823703400,519356.766247822
519356.827676700,519356.766247822
519356.831049300,519356.782928389
519356.835558400,519356.782928389
519356.840592300,519356.782928389
519356.844573400,519356.782928389
519356.848532700,519356.799608956
519356.852680800,519356.799608956
519356.856798500,519356.799608956
519356.860773400,519356.799608956
519356.865410300,519356.816289523
519356.869161000,519356.816289523
519356.874200500,519356.816289523
519356.877642900,519356.832970090
519356.882455100,519356.832970090
519356.886145500,519356.832970090
519356.889679700,519356.832970090
519356.894104100,519356.849650658
519356.898779700,519356.849650658
519356.902462200,519356.849650658
519356.907337300,519356.849650658
519356.910757900,519356.866331225
519356.915900500,519356.866331225
519356.920055100,519356.866331225
519356.924030900,519356.866331225
519356.927358900,519356.883011792
519356.932020600,519356.883011792
519356.935637500,519356.883011792
519356.940585500,519356.883011792
519356.944223900,519356.899692359
519356.949360000,519356.899692359
519356.951933500,519356.899692359
519356.956453000,519356.899692359
519356.961605700,519356.916372926
519356.965519300,519356.916372926
519356.969129300,519356.916372926
519356.974127600,519356.933053493
519356.977565400,519356.933053493
519356.982244800,519356.933053493
519356.985833200,519356.933053493
519356.990847800,519356.949734060
519356.994915200,519356.949734060
519356.998783800,519356.949734060
519357.003230000,519356.949734060
519357.007105800,519356.966414627
519357.010971300,519356.966414627
519357.014661500,519356.966414627
519357.019564000,519356.966414627
519357.022911300,519356.983095194
519357.027337600,519356.983095194
519357.032055300,519356.983095194
519357.036029300,519356.983095194
519357.040020700,519356.999775762
519357.044350900,519356.999775762
519357.047702500,519356.999775762
519357.052692600,519356.999775762
519357.056030000,519357.016456329
519357.061335200,519357.016456329
519357.065358500,519357.016456329
519357.069369100,519357.016456329
519357.073052400,519357.033136896
519357.077775000,519357.033136896
519357.081827200,519357.033136896
519357.085790400,519357.033136896
519357.090794900,519357.049817463
519357.094879500,519357.049817463
519357.099225000,519357.049817463
519357.104374900,519357.066498030
519357.107839400,519357.066498030
519357.112676200,519357.066498030
519357.116668200,519357.066498030
519357.119981200,519357.083178597
519357.125269100,519357.083178597
519357.129534000,519357.083178597
519357.133470400,519357.099859164
519357.137703800,519357.099859164
519357.141273400,519357.099859164
519357.146214300,519357.099859164
519357.150596900,519357.116539731
519357.154633500,519357.116539731
519357.158027600,519357.116539731
519357.162653400,519357.116539731
519357.166598100,519357.133220299
519357.171995700,519357.133220299
519357.175045200,519357.133220299
519357.179485800,519357.133220299
519357.183236300,519357.133220299
519357.187588100,519357.133220299
519357.191202900,519357.133220299
519357.196240200,519357.133220299
519357.200622100,519357.149934989
519357.204054900,519357.149934989
519357.208910400,519357.149934989
519357.212901500,519357.166622515
519357.216390100,519357.166622515
519357.220729600,519357.166622515
519357.225213100,519357.166622515
519357.229356700,519357.183310041
519357.233127800,519357.183310041
519357.237488100,519357.183310041
519357.241642000,519357.183310041
519357.245585000,519357.199997568
519357.251037400,519357.199997568
519357.253555500,519357.199997568
519357.258192000,519357.199997568
519357.262512900,519357.216685094
519357.266828600,519357.216685094
519357.270387400,519357.216685094
519357.274920600,519357.216685094
519357.280188500,519357.233372620
