CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
428451.651312852, 246.218353271, 205.968627930, 306.487731934, 207.091537476, 376.789428711, 222.384002686, 436.228637695, 223.718780518, -75.636901855, -16.371938705, 513.427734375, -10.981687546, -15.142212868, 517.678649902, 1031
428451.667993420, 246.170822144, 206.315780640, 306.729339600, 207.253402710, 377.243988037, 222.770965576, 436.807067871, 224.174957275, -75.348098755, -15.906107903, 511.120330811, -10.688344955, -14.762741089, 516.120788574, 1032
428451.684673987, 246.483276367, 206.325256348, 306.412445068, 207.371978760, 377.136901855, 222.712890625, 436.539154053, 224.151855469, -75.296592712, -15.990330696, 513.037536621, -11.025880814, -14.704669952, 515.885925293, 1033
428451.701354554, 246.512756348, 206.212203979, 306.634368896, 207.300994873, 377.126556396, 222.694091797, 436.176147461, 223.771514893, -75.291679382, -16.066759109, 513.216491699, -10.841345787, -15.025918007, 518.618652344, 1034
428451.718035121, 246.572311401, 206.176391602, 306.759246826, 207.085433960, 377.042114258, 222.762619019, 436.713256836, 224.220886230, -75.324996948, -16.069002151, 513.874877930, -10.668560028, -14.844733238, 516.683654785, 1035
428451.734715688, 246.517181396, 206.101165771, 306.669525146, 207.186370850, 377.053710938, 222.600463867, 436.593017578, 223.795700073, -75.339141846, -16.188016891, 513.572448730, -10.766718864, -15.024999619, 516.843017578, 1036
428451.751396255, 246.772216797, 205.778320312, 306.765808105, 206.950347900, 377.191253662, 222.408294678, 436.579589844, 223.752807617, -75.144027710, -16.482351303, 514.101867676, -10.673562050, -15.190839767, 517.346496582, 1037
428451.768076822, 246.507141113, 205.882934570, 306.558715820, 206.799362183, 377.101745605, 222.263366699, 436.555114746, 223.465087891, -75.310646057, -16.479669571, 513.310424805, -10.879830360, -15.404684067, 516.497070312, 1038
428451.784757389, 246.729431152, 205.748413086, 306.673797607, 206.879547119, 377.375549316, 222.329467773, 436.975280762, 223.882919312, -75.036758423, -16.508470535, 513.057067871, -10.727238655, -15.094272614, 515.083801270, 1039
428451.801437956, 246.804321289, 205.937011719, 306.852416992, 206.866882324, 377.570648193, 222.265594482, 436.970886230, 223.697860718, -74.875953674, -16.424489975, 512.510986328, -10.550925255, -15.225632668, 515.941650391, 1040
428451.818118524, 247.098068237, 205.653289795, 307.158508301, 206.893341064, 377.792358398, 222.392745972, 437.428436279, 224.150924683, -74.608398438, -16.517967224, 512.815856934, -10.207655907, -14.945986748, 515.242065430, 1041
428451.834799091, 246.995407104, 205.640747070, 307.112304688, 206.841979980, 377.966369629, 222.301239014, 437.502288818, 223.567840576, -74.533569336, -16.534416199, 511.552429199, -10.244565010, -15.273733139, 514.711059570, 1042
428451.851479658, 247.323715210, 205.706481934, 307.666473389, 207.103729248, 377.869567871, 222.124206543, 437.564208984, 223.457061768, -74.465881348, -16.656112671, 513.505371094, -9.687643051, -15.257791519, 517.022338867, 1043
