frameCounter, trackingStatus, timeLogged, frameNumber
2,2,1126921.8479, 853
3,2,1126921.8650, 854
4,2,1126921.8797, 855
5,2,1126921.8951, 856
6,2,1126921.9112, 857
7,2,1126921.9266, 858
8,2,1126921.9428, 859
9,2,1126921.9589, 860
10,2,1126921.9750, 861
11,2,1126921.9913, 862
12,2,1126922.0071, 863
13,2,1126922.0228, 864
14,2,1126922.0549, 865
15,2,1126922.0707, 866
16,2,1126922.0867, 867
17,2,1126922.1038, 868
18,2,1126922.1194, 869
19,2,1126922.1358, 870
20,2,1126922.1507, 871
21,2,1126922.1669, 872
22,2,1126922.1831, 873
23,2,1126922.2004, 874
24,2,1126922.2160, 875
25,2,1126922.2309, 876
26,2,1126922.2473, 877
27,2,1126922.2630, 878
28,2,1126922.2794, 879
29,2,1126922.2961, 880
30,2,1126922.3113, 881
31,2,1126922.3270, 882
32,2,1126922.3429, 883
33,2,1126922.3589, 884
34,2,1126922.3749, 885
35,2,1126922.3908, 886
36,2,1126922.4073, 887
37,2,1126922.4389, 888
38,2,1126922.4546, 889
39,2,1126922.4710, 890
40,2,1126922.4866, 891
41,2,1126922.5037, 892
42,2,1126922.5196, 893
43,2,1126922.5359, 894
44,2,1126922.5512, 895
45,2,1126922.5671, 896
46,2,1126922.5827, 897
47,2,1126922.5992, 898
48,2,1126922.6156, 899
49,2,1126922.6310, 900
50,2,1126922.6467, 901
51,2,1126922.6631, 902
52,2,1126922.6786, 903
53,2,1126922.6949, 904
54,2,1126922.7118, 905
55,2,1126922.7272, 906
56,2,1126922.7430, 907
57,2,1126922.7595, 908
58,2,1126922.7752, 909
59,2,1126922.7914, 910
60,2,1126922.8070, 911
61,2,1126922.8395, 912
62,2,1126922.8558, 913
63,2,1126922.8710, 914
64,2,1126922.8869, 915
65,2,1126922.9034, 916
66,2,1126922.9191, 917
67,2,1126922.9360, 918
68,2,1126922.9515, 919
69,2,1126922.9667, 920
70,2,1126922.9829, 921
71,2,1126922.9991, 922
72,2,1126923.0151, 923
73,2,1126923.0312, 924
74,2,1126923.0467, 925
75,2,1126923.0630, 926
76,2,1126923.0787, 927
77,2,1126923.0948, 928
78,2,1126923.1110, 929
79,2,1126923.1273, 930
80,2,1126923.1427, 931
81,2,1126923.1593, 932
82,2,1126923.1752, 933
83,2,1126923.1910, 934
84,2,1126923.2239, 935
85,2,1126923.2391, 936
86,2,1126923.2550, 937
87,2,1126923.2710, 938
88,2,1126923.2869, 939
89,2,1126923.3025, 940
90,2,1126923.3194, 941
91,2,1126923.3353, 942
92,2,1126923.3526, 943
93,2,1126923.3679, 944
