current_time,predicted_x,predicted_y,predicted_z
1126921.827101199888,-5.529851112822,-5.665615441839,49.425412285640
1126921.832122599939,-5.532423749690,-5.679689165070,49.423704148812
1126921.836051000049,-5.531171041398,-5.675276549367,49.421169663801
1126921.840076999972,-5.530057242435,-5.671622157214,49.418888627292
1126921.844057800015,-5.529065699376,-5.668648333933,49.416835694433
1126921.849036799977,-5.525876429692,-5.677733962464,49.415499033559
1126921.853048299905,-5.522839765660,-5.686928872164,49.414296038772
1126921.857027000049,-5.519933353634,-5.696235587004,49.413213343465
1126921.860528999940,-5.517157979937,-5.705537307187,49.412238917687
1126921.865548100090,-5.517978951993,-5.693686746744,49.411213542764
1126921.870074100094,-5.518775286323,-5.682746653184,49.410290705334
1126921.872991800075,-5.519528995293,-5.672711415111,49.409460151646
1126921.878030000022,-5.520271176269,-5.663330671592,49.408712653327
1126921.881968700094,-5.518796052980,-5.648846362485,49.408363009698
1126921.886009499896,-5.517368353768,-5.635155674842,49.408048330433
1126921.890009100083,-5.515979496764,-5.622158854441,49.407765119094
1126921.895020599943,-5.514592479322,-5.609577676962,49.407510228888
1126921.898970900103,-5.510375994844,-5.598757387776,49.407455922308
1126921.902956200065,-5.506247247610,-5.588265511624,49.407407046386
1126921.906940399902,-5.502185140241,-5.578040937954,49.407363058056
1126921.910951199941,-5.498168158426,-5.568022957189,49.407323468559
1126921.915055799996,-5.496207182674,-5.584885695020,49.407876255065
1126921.918857200071,-5.494214779674,-5.600773227377,49.408373762920
1126921.923976300051,-5.492104698772,-5.616055083457,49.408821519990
1126921.928441300057,-5.490599675012,-5.614907339287,49.410830679636
1126921.932856600033,-5.488992016386,-5.613843531118,49.412638923318
1126921.935643499950,-5.487381460629,-5.612865375064,49.414266342632
1126921.940201000078,-5.485657838948,-5.611949028893,49.415731020014
1126921.944568699924,-5.489094977250,-5.596190627439,49.417858136214
1126921.948524700012,-5.492315768434,-5.580934390303,49.419772540793
1126921.952355500078,-5.495344623285,-5.566130173093,49.421495504914
1126921.957325099967,-5.498249403597,-5.551363905040,49.423046172624
1126921.960867400048,-5.503390736939,-5.537864650943,49.423455102114
1126921.964750000043,-5.508359947383,-5.524483742459,49.423823138656
1126921.969759200001,-5.513293577131,-5.510795895510,49.424154371543
1126921.973413900007,-5.518084718616,-5.497236752160,49.424452481142
1126921.976790300105,-5.519628542671,-5.507691608763,49.425094238643
1126921.981430799933,-5.521219351512,-5.517239689730,49.425671820394
1126921.986251099966,-5.522868721320,-5.525987372747,49.426191643970
1126921.990161000052,-5.524536032055,-5.533993263194,49.426659485188
1126921.994558200007,-5.521321890505,-5.555580234112,49.428863722521
1126921.998114600079,-5.518267555672,-5.576098762245,49.430847536121
1126922.003096499946,-5.515282194100,-5.596152593493,49.432632968361
1126922.007077600108,-5.512397957735,-5.615519604979,49.434239857377
1126922.010432299925,-5.509893902956,-5.620743862441,49.435533278866
1126922.015668200096,-5.507378552276,-5.626028417014,49.436697358206
1126922.019252599915,-5.504928312986,-5.631195944123,49.437745029612
1126922.023189899977,-5.505487994849,-5.637605905955,49.439015044168
1126922.027621499961,-5.506004831735,-5.644022015262,49.440158057268
1126922.031917799963,-5.506484429080,-5.650442951915,49.441186769058
1126922.035393900005,-5.506928993769,-5.656758550182,49.442112609670
1126922.040795699926,-5.507351392243,-5.663301063666,49.442945866220
1126922.044157000026,-5.507746773467,-5.669738482830,49.443695797115
1126922.047787599964,-5.508120224238,-5.676138212226,49.444370734920
1126922.052305100020,-5.508479928871,-5.682670772609,49.444978178945
1126922.056643099990,-5.510169646939,-5.679871209796,49.445347876615
1126922.060507100075,-5.511800656007,-5.677513017148,49.445680604517
1126922.065524900099,-5.513417781327,-5.675601483936,49.445980059630
1126922.069461999927,-5.514995043810,-5.674047506089,49.446249569231
1126922.074263700051,-5.514622234930,-5.664366590296,49.448687867618
1126922.077720399946,-5.514279638274,-5.655379371600,49.450882336166
1126922.081210500095,-5.513964128212,-5.647004620759,49.452857357859
1126922.086193900090,-5.513669864078,-5.639042574586,49.454634877383
1126922.089522300055,-5.515294918965,-5.631269121770,49.456995486325
1126922.094220600091,-5.516881917228,-5.623729117908,49.459120034372
1126922.098114900058,-5.518416906517,-5.616474691570,49.461032127615
1126922.103130599950,-5.519940535994,-5.609318891263,49.462753011533
1126922.106860500062,-5.525500303753,-5.610171069161,49.463257915152
1126922.110345199937,-5.530857408060,-5.610902125439,49.463712328410
1126922.114858299959,-5.536150721833,-5.611511009659,49.464121300342
1126922.119932200061,-5.534805604181,-5.621035532232,49.464634142842
1126922.123612500029,-5.533588885595,-5.630075409540,49.465095701092
1126922.127397200093,-5.532485699607,-5.638704794501,49.465511103517
1126922.132380000083,-5.531479250859,-5.647140160908,49.465884965699
1126922.136372999987,-5.529032266645,-5.651093491016,49.466120542921
1126922.139748000074,-5.526720688029,-5.654930404619,49.466332562420
1126922.145093299914,-5.524458149241,-5.658836691456,49.466523379970
1126922.149100600043,-5.522278079666,-5.662701106872,49.466695115764
1126922.153413400054,-5.525005425814,-5.638104511319,49.466768615663
1126922.157127199927,-5.527628156836,-5.614724414589,49.466834765571
1126922.161173499888,-5.530176706469,-5.592287929559,49.466894300488
1126922.165186600061,-5.532662017735,-5.570671000219,49.466947881914
1126922.169486799976,-5.533367967312,-5.551582756521,49.467172725681
1126922.173193000024,-5.534080149360,-5.533078401517,49.467375085071
1126922.178102199920,-5.534824471101,-5.514616872863,49.467557208522
1126922.182049199939,-5.535578777028,-5.496504696526,49.467721119628
1126922.186074099969,-5.530512637546,-5.513381161841,49.466927935277
1126922.190065199975,-5.525645982526,-5.528991253092,49.466214069362
1126922.193976599956,-5.520953534177,-5.543468324814,49.465571590038
1126922.199035899946,-5.516309342163,-5.557073498624,49.464993358646
1126922.203030999983,-5.515568056972,-5.592087799633,49.464044941361
1126922.207378899911,-5.514788203219,-5.625724272409,49.463191365804
1126922.211608000100,-5.513972437475,-5.658131399631,49.462423147803
1126922.215607499937,-5.513126651673,-5.689378596287,49.461731751601
1126922.219365800032,-5.520955459390,-5.694498290094,49.461384916163
1126922.223090599990,-5.528453483028,-5.699860064042,49.461072764268
1126922.228123199893,-5.535835115223,-5.705737901307,49.460791827563
1126922.232236800017,-5.537072319997,-5.706530614747,49.460014845124
1126922.236536100041,-5.538322951387,-5.707672457148,49.459315560929
1126922.240405200049,-5.539574581206,-5.709090963559,49.458686205154
1126922.244422199903,-5.540834572410,-5.710778735454,49.458119784956
1126922.248751499923,-5.538739964326,-5.691576937435,49.457269545047
1126922.253104300005,-5.536731220083,-5.673307163066,49.456504329128
1126922.256987900008,-5.534806733377,-5.655948698871,49.455815634802
1126922.260485300096,-5.532964556486,-5.639474010411,49.455195809908
1126922.265839600004,-5.533383551582,-5.630422376278,49.453943883336
1126922.269204099895,-5.533787607256,-5.621817369649,49.452817149422
1126922.272581099998,-5.534178116942,-5.613600125708,49.451803088898
1126922.277422700077,-5.534567733456,-5.605504997251,49.450890434427
1126922.281785100000,-5.537533649696,-5.601572746082,49.448431968072
1126922.285399999935,-5.540405098130,-5.597684180604,49.446219348352
1126922.289888500003,-5.543247365059,-5.593737147613,49.444227990604
1126922.293860899983,-5.546040169241,-5.589776626679,49.442435768631
1126922.298785899999,-5.545981468787,-5.591913573153,49.440491653133
1126922.302494900068,-5.545982603282,-5.593716708897,49.438741949184
1126922.306231800001,-5.546037956704,-5.595214187113,49.437167215631
1126922.311177999945,-5.546159630327,-5.596389336157,49.435749955432
1126922.314877900062,-5.544915479121,-5.615992787474,49.433390284291
1126922.319754099939,-5.543737744942,-5.635087133484,49.431266580264
1126922.323360200040,-5.542631010222,-5.653382619191,49.429355246639
1126922.327353199944,-5.544342258879,-5.652740401740,49.427535482779
1126922.331766400021,-5.546054056981,-5.652245592514,49.425897695304
1126922.336132599972,-5.547769139331,-5.651882739477,49.424423686577
1126922.339872600045,-5.549465808308,-5.651626956601,49.423097078722
1126922.344310699962,-5.543828029368,-5.642701950480,49.421817110230
1126922.348023999948,-5.538408788978,-5.634187947645,49.420665138587
1126922.352936000098,-5.533054467590,-5.625863474760,49.419628364108
1126922.356918300036,-5.527831870449,-5.617814002002,49.418695267077
1126922.360799799906,-5.522810282396,-5.620862957471,49.417713000806
1126922.364603599999,-5.517871744616,-5.623674055086,49.416828961163
1126922.369531800039,-5.512862576763,-5.626291567041,49.416033325484
1126922.373540400062,-5.507877286663,-5.628719077809,49.415317253372
1126922.377170399996,-5.508077134372,-5.633798691731,49.413727697224
1126922.382863400038,-5.508104947586,-5.638819101015,49.412297096691
1126922.385448900051,-5.508059943040,-5.643547511873,49.411009556212
1126922.390478000045,-5.507881452215,-5.648222798967,49.409850769780
1126922.394787099911,-5.503634149376,-5.661941227070,49.407996666618
1126922.398727599997,-5.499420375407,-5.675213191615,49.406327973772
1126922.402645099908,-5.495228100500,-5.688103757511,49.404826150211
1126922.406659899978,-5.491033904106,-5.700701267056,49.403474509006
1126922.410323099932,-5.482866870822,-5.690970135538,49.402456968383
1126922.415125800064,-5.474615722902,-5.681804124785,49.401541181823
1126922.418748100055,-5.466488815434,-5.673233557443,49.400716973919
1126922.423930800054,-5.458139718139,-5.665040443679,49.399975186806
1126922.427470899886,-5.449896931762,-5.657325442803,49.399307578403
1126922.431870500091,-5.441548367441,-5.649942519084,49.398706730841
1126922.435995599953,-5.433137905459,-5.642870393481,49.398165968036
1126922.440338500077,-5.423490935602,-5.625533347533,49.397238493241
1126922.444206800079,-5.413854018095,-5.608845356795,49.396403765926
1126922.447578300023,-5.404329863034,-5.592854335782,49.395652511343
1126922.452580600046,-5.394463184105,-5.576975069930,49.394976382218
1126922.455916499952,-5.391105473097,-5.562003161485,49.393546180215
1126922.461101500085,-5.387235196168,-5.546920523131,49.392258998411
1126922.465329499915,-5.383046427640,-5.531992470472,49.391100534788
1126922.469283200102,-5.378605603946,-5.517256796697,49.390057917528
1126922.473677499918,-5.372611282589,-5.541106235360,49.389543756329
1126922.477652600035,-5.366447086678,-5.563356548435,49.389081011251
1126922.481094799936,-5.360222798001,-5.584081694316,49.388664540680
1126922.486124299932,-5.353615212583,-5.603789280293,49.388289717166
1126922.489682399901,-5.337095753767,-5.633999908604,49.388889074917
1126922.495050000027,-5.320206927942,-5.663535694190,49.389428496893
1126922.499016500078,-5.303473015182,-5.691912576729,49.389913976672
1126922.503020799952,-5.286829182694,-5.719316039156,49.390350908472
1126922.506665500114,-5.270156125739,-5.727912077231,49.391191992552
1126922.510817599948,-5.253415260216,-5.736573663035,49.391948968223
1126922.514407800045,-5.236817186138,-5.745188236743,49.392630246328
1126922.519441199955,-5.219683673081,-5.754119756684,49.393243396622
1126922.523314000107,-5.209499732115,-5.719181643647,49.391619710036
1126922.527786599938,-5.198836497102,-5.685993443269,49.390158392108
1126922.531385499984,-5.188016043487,-5.654677150393,49.388843205974
1126922.536419899901,-5.171342710290,-5.650389122153,49.383853042786
1126922.540696199983,-5.154493797112,-5.646173766085,49.379361895917
1126922.544403899927,-5.137703772341,-5.642057855786,49.375319863735
1126922.548136800062,-5.120929298850,-5.638016766996,49.371682034771
1126922.552514200099,-5.089803758776,-5.641477931288,49.367985892451
1126922.556310599903,-5.059111696704,-5.644820457629,49.364659364363
1126922.561466800049,-5.027759106152,-5.648149908615,49.361665489084
1126922.565478499979,-4.996567359528,-5.651406037790,49.358971001333
1126922.569626600016,-4.959812166401,-5.664126870530,49.357164324784
1126922.573107500095,-4.923701348313,-5.676290291747,49.355538315889
1126922.577624199912,-4.887182340918,-5.688191208695,49.354074907884
1126922.581636599964,-4.850663097719,-5.699774482790,49.352757840680
1126922.585816199891,-4.823169133465,-5.684270569833,49.352006783480
1126922.590117099928,-4.795019260491,-5.669641941637,49.351330831999
1126922.593663899926,-4.766827780685,-5.655903312179,49.350722475667
1126922.598705499899,-4.737319713524,-5.642699159498,49.350174954968
1126922.602655899944,-4.253486980286,-5.624682289285,49.349519870970
1126922.606633699965,-4.207247499772,-5.607227316395,49.348930295372
1126922.610572099918,-4.160530423768,-5.590251421839,49.348399677334
1126922.615616899915,-4.099329329830,-5.573294369617,49.347922121100
1126922.619593800046,-3.903763801590,-5.589813700719,49.350276477288
1126922.623582799919,-3.842634989603,-5.605394800848,49.352395397858
1126922.627575699938,-3.780123543477,-5.620157296116,49.354302426370
1126922.631682399893,-3.890448106211,-5.602134799304,49.353578108721
1126922.635819100076,-3.836260872740,-5.584642083184,49.352926222837
1126922.639326399891,-3.789579638327,-5.567790035773,49.352339525541
1126922.644483200042,-3.719713087093,-5.550943645685,49.351811497974
1126922.647936099907,-3.631312778849,-5.562410788453,49.349687751741
1126922.652687999886,-3.561571831586,-5.573217246209,49.347776380132
1126922.656579999952,-3.503434479841,-5.583360166284,49.346056145683
1126922.660529700108,-3.443499233800,-5.592929606319,49.344507934679
1126922.665442999918,-3.208347117212,-5.600441232904,49.345037533667
1126922.669315600069,-3.136225371345,-5.607457734252,49.345514172757
1126922.673124100082,-3.064045125055,-5.614032254938,49.345943147937
1126922.678148200037,-2.966926701129,-5.620303812931,49.346329225599
1126922.681472999975,-3.343441281324,-5.623620127071,49.349554121643
1126922.686189600034,-3.285982397812,-5.626925300935,49.352456528082
1126922.689715899993,-3.242746274715,-5.630150580338,49.355068693877
1126922.694312599953,-3.186029078732,-5.633394176862,49.357419643093
1126922.697911099996,-3.406191682990,-5.640081116280,49.364608281811
1126922.703582700109,-3.363422603234,-5.646778250378,49.371078056658
1126922.706140599912,-3.344398626055,-5.653122329707,49.376900854019
1126922.711169499904,-3.307477172595,-5.659473553382,49.382141371645
1126922.715097599896,-3.086097519275,-5.647273780904,49.390727466414
1126922.719075599918,-3.043436792893,-5.635555671441,49.398454951706
1126922.724058799911,-2.989858125102,-5.624049432952,49.405409688469
1126922.728060400113,-2.941229235228,-5.621660726568,49.409669287249
1126922.732048500096,-2.897827225645,-5.619338018641,49.413502926151
1126922.736036600079,-2.854314878889,-5.617071447076,49.416953201163
1126922.740014600102,-2.810802809836,-5.614852594432,49.420058448674
1126922.744017699966,-2.670115215494,-5.611841491841,49.421076285447
1126922.748993699905,-2.606530842091,-5.608881170974,49.421992338543
1126922.752978800097,-2.555204329383,-5.606013109917,49.422816786329
1126922.756977099925,-2.503346639113,-5.603224464208,49.423558789337
1126922.761501200031,-2.405816269448,-5.583304076013,49.423450301150
1126922.765847299946,-2.345310918033,-5.563856683941,49.423352661782
1126922.769311100012,-2.296686678009,-5.545108471275,49.423264786351
1126922.773280299967,-2.240529236671,-5.526769722296,49.423185698463
1126922.776627999963,-2.338102159946,-5.535316111423,49.420030527359
1126922.781017099973,-2.287253229982,-5.543238952390,49.417190873366
1126922.785898899892,-2.230588037163,-5.550645742310,49.414635184772
1126922.789922799915,-2.183795193189,-5.557554746034,49.412335065038
1126922.794244199991,-2.024500690435,-5.562442387916,49.411881053773
1126922.798200200079,-1.970506013611,-5.567023175910,49.411472443635
1126922.801760199945,-1.921625324597,-5.571319485059,49.411104694511
1126922.806756200036,-1.852562792786,-5.575445602774,49.410773720299
1126922.810119800037,-1.912032985599,-5.570716098420,49.411477010806
1126922.814642099896,-1.857154268088,-5.566111144179,49.412109972262
1126922.818941799924,-1.804859748922,-5.561630914156,49.412679637572
1126922.823972499929,-1.743529661564,-5.557200257509,49.413192336352
1126922.827554600080,-1.699764464821,-5.552925274835,49.413653765253
1126922.831027799984,-1.657254148478,-5.548796215768,49.414069051264
1126922.836166599998,-1.594221079956,-5.544658183016,49.414442808675
1126922.840329200029,-1.694092059693,-5.560809478691,49.324460983276
1126922.844124899944,-1.657718548175,-5.576157624643,49.324460983276
1126922.847757299896,-1.623134633124,-5.590771585089,49.324460983276
1126922.852744099917,-1.576013520421,-5.605060873427,49.324460983276
1126922.857081700116,-1.332486504901,-5.608536319817,49.327337493896
1126922.861819199985,-1.272032970710,-5.612087064754,49.328337493896
1126922.864851299906,-1.233207424258,-5.615561313117,49.329237493896
1126922.868816700066,-1.182273278986,-5.619061825774,49.330047493896
1126922.874143100111,-1.371809975713,-5.610956778646,49.251712799072
1126922.877721499885,-1.340854053892,-5.603544346872,49.251712799072
1126922.881313899998,-1.310065620175,-5.596753658006,49.251712799072
1126922.886284299893,-1.267943947534,-5.590474799493,49.251712799072
1126922.889614100102,-1.362583389975,-5.565736758734,49.210124740601
1126922.894942499930,-1.330201002984,-5.541736705610,49.209124740601
