frameCounter, trackingStatus, timeLogged, frameNumber
7514,2,4306.3471, 60553
7515,2,4306.3638, 60554
7516,2,4306.3824, 60555
7517,2,4306.3943, 60556
7518,2,4306.4107, 60557
7519,2,4306.4262, 60558
7520,2,4306.4422, 60559
7521,2,4306.4593, 60560
7522,2,4306.4745, 60561
7523,2,4306.4907, 60562
7524,2,4306.5063, 60563
7525,2,4306.5224, 60564
7526,2,4306.5541, 60565
7527,2,4306.5703, 60566
7528,2,4306.5864, 60567
7529,2,4306.6026, 60568
7530,2,4306.6185, 60569
7531,2,4306.6346, 60570
7532,2,4306.6508, 60571
7533,2,4306.6677, 60572
7534,2,4306.6828, 60573
7535,2,4306.7009, 60574
7536,2,4306.7149, 60575
7537,2,4306.7303, 60576
7538,2,4306.7468, 60577
7539,2,4306.7622, 60578
7540,2,4306.7783, 60579
7541,2,4306.7941, 60580
7542,2,4306.8106, 60581
7543,2,4306.8264, 60582
7544,2,4306.8421, 60583
7545,2,4306.8579, 60584
7546,2,4306.8748, 60585
7547,2,4306.8901, 60586
7548,2,4306.9060, 60587
7549,2,4306.9221, 60588
7550,2,4306.9541, 60589
7551,2,4306.9700, 60590
7552,2,4306.9864, 60591
7553,2,4307.0025, 60592
7554,2,4307.0185, 60593
7555,2,4307.0346, 60594
7556,2,4307.0500, 60595
7557,2,4307.0667, 60596
7558,2,4307.0824, 60597
7559,2,4307.0983, 60598
7560,2,4307.1152, 60599
7561,2,4307.1310, 60600
7562,2,4307.1464, 60601
7563,2,4307.1625, 60602
7564,2,4307.1789, 60603
7565,2,4307.1962, 60604
7566,2,4307.2104, 60605
7567,2,4307.2262, 60606
7568,2,4307.2421, 60607
7569,2,4307.2579, 60608
7570,2,4307.2741, 60609
7571,2,4307.2908, 60610
7572,2,4307.3064, 60611
7573,2,4307.3388, 60612
7574,2,4307.3550, 60613
7575,2,4307.3708, 60614
7576,2,4307.3861, 60615
7577,2,4307.4026, 60616
7578,2,4307.4183, 60617
7579,2,4307.4356, 60618
7580,2,4307.4509, 60619
7581,2,4307.4666, 60620
7582,2,4307.4829, 60621
7583,2,4307.4992, 60622
7584,2,4307.5154, 60623
7585,2,4307.5300, 60624
7586,2,4307.5466, 60625
7587,2,4307.5622, 60626
7588,2,4307.5784, 60627
7589,2,4307.5945, 60628
7590,2,4307.6103, 60629
7591,2,4307.6265, 60630
7592,2,4307.6421, 60631
7593,2,4307.6581, 60632
7594,2,4307.6740, 60633
7595,2,4307.6904, 60634
7596,2,4307.7060, 60635
7597,2,4307.7385, 60636
7598,2,4307.7544, 60637
7599,2,4307.7706, 60638
7600,2,4307.7863, 60639
7601,2,4307.8024, 60640
7602,2,4307.8185, 60641
7603,2,4307.8359, 60642
7604,2,4307.8503, 60643
7605,2,4307.8665, 60644
7606,2,4307.8832, 60645
7607,2,4307.8989, 60646
7608,2,4307.9149, 60647
7609,2,4307.9311, 60648
7610,2,4307.9468, 60649
7611,2,4307.9625, 60650
7612,2,4307.9788, 60651
7613,2,4307.9945, 60652
7614,2,4308.0113, 60653
7615,2,4308.0267, 60654
7616,2,4308.0426, 60655
7617,2,4308.0599, 60656
7618,2,4308.0746, 60657
7619,2,4308.0906, 60658
7620,2,4308.1225, 60659
7621,2,4308.1383, 60660
7622,2,4308.1544, 60661
7623,2,4308.1703, 60662
7624,2,4308.1860, 60663
7625,2,4308.2019, 60664
7626,2,4308.2184, 60665
7627,2,4308.2344, 60666
7628,2,4308.2501, 60667
7629,2,4308.2664, 60668
7630,2,4308.2830, 60669
7631,2,4308.2986, 60670
7632,2,4308.3144, 60671
7633,2,4308.3301, 60672
7634,2,4308.3474, 60673
7635,2,4308.3629, 60674
7636,2,4308.3785, 60675
7637,2,4308.3945, 60676
7638,2,4308.4108, 60677
7639,2,4308.4265, 60678
7640,2,4308.4425, 60679
7641,2,4308.4584, 60680
7642,2,4308.4751, 60681
7643,2,4308.4907, 60682
7644,2,4308.5224, 60683
7645,2,4308.5386, 60684
7646,2,4308.5540, 60685
7647,2,4308.5711, 60686
7648,2,4308.5865, 60687
7649,2,4308.6023, 60688
7650,2,4308.6187, 60689
7651,2,4308.6345, 60690
7652,2,4308.6502, 60691
7653,2,4308.6669, 60692
7654,2,4308.6824, 60693
7655,2,4308.6993, 60694
7656,2,4308.7142, 60695
7657,2,4308.7306, 60696
