frameCounter, trackingStatus, timeLogged, frameNumber
19,2,1534813.4736, 376
20,2,1534813.4908, 377
21,2,1534813.5055, 378
22,2,1534813.5216, 379
23,2,1534813.5378, 380
24,2,1534813.5565, 381
25,2,1534813.5697, 382
26,2,1534813.5874, 383
27,2,1534813.6013, 384
28,2,1534813.6185, 385
29,2,1534813.6338, 386
30,2,1534813.6495, 387
31,2,1534813.6653, 388
32,2,1534813.6979, 389
33,2,1534813.7136, 390
34,2,1534813.7302, 391
35,2,1534813.7479, 392
36,2,1534813.7645, 393
37,2,1534813.7781, 394
38,2,1534813.7940, 395
39,2,1534813.8113, 396
40,2,1534813.8291, 397
41,2,1534813.8567, 398
42,2,1534813.8628, 399
43,2,1534813.8742, 400
44,2,1534813.8903, 401
45,2,1534813.9068, 402
46,2,1534813.9228, 403
47,2,1534813.9394, 404
48,2,1534813.9549, 405
49,2,1534813.9702, 406
50,2,1534813.9854, 407
51,2,1534814.0016, 408
52,2,1534814.0181, 409
53,2,1534814.0345, 410
54,2,1534814.0503, 411
55,2,1534814.0654, 412
56,2,1534814.0992, 413
57,2,1534814.1398, 414
58,2,1534814.1474, 416
59,2,1534814.1633, 417
60,2,1534814.1784, 418
61,2,1534814.1953, 419
62,2,1534814.2117, 420
63,2,1534814.2268, 421
64,2,1534814.2421, 422
65,2,1534814.2577, 423
66,2,1534814.2745, 424
67,2,1534814.2899, 425
68,2,1534814.3060, 426
69,2,1534814.3221, 427
70,2,1534814.3387, 428
71,2,1534814.3553, 429
72,2,1534814.3704, 430
73,2,1534814.3858, 431
74,2,1534814.4019, 432
75,2,1534814.4183, 433
76,2,1534814.4343, 434
77,2,1534814.4528, 435
78,2,1534814.4820, 436
79,2,1534814.4993, 437
80,2,1534814.5136, 438
81,2,1534814.5294, 439
82,2,1534814.5464, 440
83,2,1534814.5625, 441
84,2,1534814.5792, 442
85,2,1534814.5941, 443
86,2,1534814.6104, 444
87,2,1534814.6260, 445
88,2,1534814.6419, 446
89,2,1534814.6580, 447
90,2,1534814.6741, 448
91,2,1534814.6899, 449
92,2,1534814.7076, 450
93,2,1534814.7218, 451
94,2,1534814.7376, 452
95,2,1534814.7540, 453
96,2,1534814.7702, 454
97,2,1534814.7866, 455
98,2,1534814.8030, 456
99,2,1534814.8181, 457
100,2,1534814.8343, 458
101,2,1534814.8506, 459
102,2,1534814.8819, 460
103,2,1534814.8997, 461
104,2,1534814.9157, 462
105,2,1534814.9304, 463
106,2,1534814.9468, 464
107,2,1534814.9619, 465
108,2,1534814.9788, 466
109,2,1534814.9936, 467
110,2,1534815.0100, 468
111,2,1534815.0263, 469
112,2,1534815.0415, 470
113,2,1534815.0596, 471
114,2,1534815.0731, 472
115,2,1534815.0900, 473
116,2,1534815.1071, 474
117,2,1534815.1239, 475
118,2,1534815.1378, 476
119,2,1534815.1535, 477
120,2,1534815.1701, 478
121,2,1534815.1856, 479
122,2,1534815.2037, 480
123,2,1534815.2213, 481
124,2,1534815.2341, 482
125,2,1534815.2503, 483
126,2,1534815.2821, 484
127,2,1534815.2985, 485
128,2,1534815.3169, 486
129,2,1534815.3302, 487
130,2,1534815.3466, 488
131,2,1534815.3639, 489
132,2,1534815.3782, 490
133,2,1534815.3955, 491
134,2,1534815.4102, 492
135,2,1534815.4267, 493
136,2,1534815.4415, 494
137,2,1534815.4582, 495
138,2,1534815.4745, 496
139,2,1534815.4904, 497
140,2,1534815.5055, 498
141,2,1534815.5384, 499
142,2,1534815.5386, 500
143,2,1534815.5554, 501
144,2,1534815.5697, 502
145,2,1534815.5854, 503
146,2,1534815.6018, 504
147,2,1534815.6179, 505
148,2,1534815.6347, 506
149,2,1534815.6673, 507
150,2,1534815.6836, 508
151,2,1534815.6972, 509
152,2,1534815.7138, 510
153,2,1534815.7309, 511
154,2,1534815.7470, 512
155,2,1534815.7622, 513
156,2,1534815.7789, 514
157,2,1534815.7947, 515
158,2,1534815.8118, 516
159,2,1534815.8257, 517
160,2,1534815.8480, 518
161,2,1534815.8604, 519
162,2,1534815.8762, 520
163,2,1534815.8909, 521
164,2,1534815.9061, 522
165,2,1534815.9219, 523
166,2,1534815.9390, 524
167,2,1534815.9538, 525
168,2,1534815.9725, 526
169,2,1534815.9876, 527
170,2,1534816.0031, 528
171,2,1534816.0197, 529
172,2,1534816.0350, 530
173,2,1534816.0669, 531
174,2,1534816.0853, 532
175,2,1534816.0982, 533
176,2,1534816.1139, 534
177,2,1534816.1294, 535
178,2,1534816.1467, 536
179,2,1534816.1614, 537
180,2,1534816.1780, 538
181,2,1534816.1937, 539
182,2,1534816.2098, 540
183,2,1534816.2256, 541
184,2,1534816.2418, 542
185,2,1534816.2581, 543
186,2,1534816.2737, 544
187,2,1534816.2910, 545
188,2,1534816.3064, 546
189,2,1534816.3226, 547
190,2,1534816.3381, 548
191,2,1534816.3539, 549
192,2,1534816.3704, 550
193,2,1534816.3877, 551
194,2,1534816.4040, 552
195,2,1534816.4182, 553
196,2,1534816.4499, 554
197,2,1534816.4657, 555
198,2,1534816.4830, 556
199,2,1534816.4998, 557
200,2,1534816.5140, 558
