CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
1126941.8472, 48.5563, -17.6441, 496.4308, 0.2982, 0.0033, 0.0434, 48.5563, -17.6441, 496.4308, 0.2982, 0.0033, 0.0434, 2053
1126941.8638, 48.8594, -18.2753, 499.2236, 0.3051, 0.0042, 0.0388, 48.8594, -18.2753, 499.2236, 0.3051, 0.0042, 0.0388, 2054
1126941.8805, 48.5681, -17.8577, 498.0415, 0.2919, 0.0150, 0.0417, 48.5681, -17.8577, 498.0415, 0.2919, 0.0150, 0.0417, 2055
1126941.8972, 48.4409, -17.8316, 497.5333, 0.2951, 0.0110, 0.0449, 48.4409, -17.8316, 497.5333, 0.2951, 0.0110, 0.0449, 2056
1126941.9138, 49.1542, -18.6108, 501.0956, 0.3078, 0.0133, 0.0391, 49.1542, -18.6108, 501.0956, 0.3078, 0.0133, 0.0391, 2057
1126941.9305, 48.7757, -18.5168, 498.1664, 0.3129, 0.0031, 0.0478, 48.7757, -18.5168, 498.1664, 0.3129, 0.0031, 0.0478, 2058
1126941.9472, 48.6775, -17.7673, 498.2525, 0.2887, 0.0119, 0.0422, 48.6775, -17.7673, 498.2525, 0.2887, 0.0119, 0.0422, 2059
1126941.9638, 48.0816, -17.5085, 496.5938, 0.2981, 0.0056, 0.0428, 48.0816, -17.5085, 496.5938, 0.2981, 0.0056, 0.0428, 2060
1126941.9805, 48.2402, -17.9203, 500.2736, 0.3105, 0.0078, 0.0428, 48.2402, -17.9203, 500.2736, 0.3105, 0.0078, 0.0428, 2061
1126941.9972, 48.2173, -17.9007, 498.1324, 0.3090, 0.0152, 0.0418, 48.2173, -17.9007, 498.1324, 0.3090, 0.0152, 0.0418, 2062
