CaptureTime, CaptureTime 0, FrameNumber 0, DeviceTime 0, CaptureTime 1, FrameNumber 1, DeviceTime 1, frameSetCounter
4163.464651934, 4163.464651934, 51988, 4163.464651934, 4163.464651934, 51988, 4163.464651934, 5517
4163.481325548, 4163.481325548, 51989, 4163.481325548, 4163.481325548, 51989, 4163.481325548, 5518
4163.497999162, 4163.497999162, 51990, 4163.497999162, 4163.497999162, 51990, 4163.497999162, 5519
4163.514672776, 4163.514672776, 51991, 4163.514672776, 4163.514672776, 51991, 4163.514672776, 5520
4163.531346390, 4163.531346390, 51992, 4163.531346390, 4163.531346390, 51992, 4163.531346390, 5521
4163.548020004, 4163.548020004, 51993, 4163.548020004, 4163.548020004, 51993, 4163.548020004, 5522
4163.564693618, 4163.564693618, 51994, 4163.564693618, 4163.564693618, 51994, 4163.564693618, 5523
4163.581367232, 4163.581367232, 51995, 4163.581367232, 4163.581367232, 51995, 4163.581367232, 5524
4163.598040846, 4163.598040846, 51996, 4163.598040846, 4163.598040846, 51996, 4163.598040846, 5525
4163.614714460, 4163.614714460, 51997, 4163.614714460, 4163.614714460, 51997, 4163.614714460, 5526
4163.631388074, 4163.631388074, 51998, 4163.631388074, 4163.631388074, 51998, 4163.631388074, 5527
4163.648061688, 4163.648061688, 51999, 4163.648061688, 4163.648061688, 51999, 4163.648061688, 5528
4163.664735302, 4163.664735302, 52000, 4163.664735302, 4163.664735302, 52000, 4163.664735302, 5529
4163.681408916, 4163.681408916, 52001, 4163.681408916, 4163.681408916, 52001, 4163.681408916, 5530
4163.698082530, 4163.698082530, 52002, 4163.698082530, 4163.698082530, 52002, 4163.698082530, 5531
4163.714756144, 4163.714756144, 52003, 4163.714756144, 4163.714756144, 52003, 4163.714756144, 5532
4163.731429758, 4163.731429758, 52004, 4163.731429758, 4163.731429758, 52004, 4163.731429758, 5533
4163.748128317, 4163.748128317, 52005, 4163.748128317, 4163.748128317, 52005, 4163.748128317, 5534
4163.764808885, 4163.764808885, 52006, 4163.764808885, 4163.764808885, 52006, 4163.764808885, 5535
4163.781489452, 4163.781489452, 52007, 4163.781489452, 4163.781489452, 52007, 4163.781489452, 5536
4163.798170019, 4163.798170019, 52008, 4163.798170019, 4163.798170019, 52008, 4163.798170019, 5537
