CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
4213.5048, -20.3707, 117.5450, 699.5228, -0.0740, -0.0131, -0.0093, -20.3707, 117.5450, 699.5228, -0.0740, -0.0131, -0.0093, 54988
4213.5215, -25.8030, 117.7179, 703.2487, -0.0605, -0.0178, -0.0100, -25.8030, 117.7179, 703.2487, -0.0605, -0.0178, -0.0100, 54989
4213.5381, -31.0738, 117.6401, 702.2966, -0.0634, -0.0087, -0.0068, -31.0738, 117.6401, 702.2966, -0.0634, -0.0087, -0.0068, 54990
4213.5548, -36.1477, 116.5730, 693.9586, -0.0799, -0.0179, -0.0110, -36.1477, 116.5730, 693.9586, -0.0799, -0.0179, -0.0110, 54991
4213.5715, -41.0417, 117.2928, 697.1064, -0.0740, -0.0244, -0.0066, -41.0417, 117.2928, 697.1064, -0.0740, -0.0244, -0.0066, 54992
4213.5882, -45.6143, 117.7740, 702.1541, -0.0573, -0.0452, -0.0060, -45.6143, 117.7740, 702.1541, -0.0573, -0.0452, -0.0060, 54993
4213.6049, -49.5878, 117.6541, 700.5046, -0.0616, -0.0508, -0.0019, -49.5878, 117.6541, 700.5046, -0.0616, -0.0508, -0.0019, 54994
4213.6216, -54.1143, 118.1009, 706.0231, -0.0707, -0.0353, -0.0022, -54.1143, 118.1009, 706.0231, -0.0707, -0.0353, -0.0022, 54995
4213.6383, -58.9890, 118.2740, 708.8106, -0.0422, -0.0430, -0.0025, -58.9890, 118.2740, 708.8106, -0.0422, -0.0430, -0.0025, 54996
4213.6549, -61.6761, 117.9918, 703.3076, -0.0472, -0.0578, -0.0060, -61.6761, 117.9918, 703.3076, -0.0472, -0.0578, -0.0060, 54997
4213.6716, -64.7296, 117.7095, 700.3384, -0.0744, -0.0479, -0.0098, -64.7296, 117.7095, 700.3384, -0.0744, -0.0479, -0.0098, 54998
4213.6883, -68.2218, 117.7906, 703.9783, -0.0412, -0.0620, -0.0039, -68.2218, 117.7906, 703.9783, -0.0412, -0.0620, -0.0039, 54999
4213.7050, -71.6511, 117.8953, 706.2224, -0.0417, -0.0625, -0.0011, -71.6511, 117.8953, 706.2224, -0.0417, -0.0625, -0.0011, 55000
4213.7217, -74.7192, 118.0130, 705.7278, -0.0562, -0.0591, -0.0009, -74.7192, 118.0130, 705.7278, -0.0562, -0.0591, -0.0009, 55001
4213.7383, -76.6813, 117.3841, 704.0485, -0.0475, -0.0664, -0.0085, -76.6813, 117.3841, 704.0485, -0.0475, -0.0664, -0.0085, 55002
4213.7550, -78.4697, 117.2238, 698.0194, -0.0886, -0.0699, -0.0092, -78.4697, 117.2238, 698.0194, -0.0886, -0.0699, -0.0092, 55003
4213.7717, -80.5097, 117.3335, 699.9449, -0.0732, -0.0654, -0.0137, -80.5097, 117.3335, 699.9449, -0.0732, -0.0654, -0.0137, 55004
4213.7884, -82.9951, 117.2945, 700.1780, -0.0674, -0.0657, -0.0075, -82.9951, 117.2945, 700.1780, -0.0674, -0.0657, -0.0075, 55005
4213.8051, -84.8616, 117.8280, 703.3619, -0.0481, -0.0597, -0.0023, -84.8616, 117.8280, 703.3619, -0.0481, -0.0597, -0.0023, 55006
4213.8218, -86.7860, 118.0798, 704.8263, -0.0517, -0.0730, -0.0057, -86.7860, 118.0798, 704.8263, -0.0517, -0.0730, -0.0057, 55007
4213.8384, -87.4269, 117.1270, 698.2374, -0.0752, -0.0735, 0.0029, -87.4269, 117.1270, 698.2374, -0.0752, -0.0735, 0.0029, 55008
4213.8551, -89.0028, 117.7879, 704.3231, -0.0604, -0.0744, -0.0068, -89.0028, 117.7879, 704.3231, -0.0604, -0.0744, -0.0068, 55009
4213.8718, -89.2176, 117.1290, 698.2206, -0.0803, -0.0799, -0.0043, -89.2176, 117.1290, 698.2206, -0.0803, -0.0799, -0.0043, 55010
4213.8885, -90.0513, 117.3540, 698.9397, -0.0889, -0.0702, -0.0013, -90.0513, 117.3540, 698.9397, -0.0889, -0.0702, -0.0013, 55011
4213.9052, -90.8920, 117.9153, 704.5369, -0.0706, -0.0608, -0.0012, -90.8920, 117.9153, 704.5369, -0.0706, -0.0608, -0.0012, 55012
4213.9218, -90.2516, 116.9950, 697.1226, -0.0805, -0.0596, -0.0054, -90.2516, 116.9950, 697.1226, -0.0805, -0.0596, -0.0054, 55013
4213.9385, -90.8554, 117.2318, 698.5792, -0.0821, -0.0651, 0.0019, -90.8554, 117.2318, 698.5792, -0.0821, -0.0651, 0.0019, 55014
4213.9552, -90.8693, 117.4572, 700.9318, -0.0817, -0.0778, -0.0022, -90.8693, 117.4572, 700.9318, -0.0817, -0.0778, -0.0022, 55015
4213.9719, -90.2035, 117.0818, 698.0286, -0.0896, -0.0639, 0.0000, -90.2035, 117.0818, 698.0286, -0.0896, -0.0639, 0.0000, 55016
4213.9886, -88.8410, 116.3893, 693.3854, -0.0961, -0.0670, -0.0015, -88.8410, 116.3893, 693.3854, -0.0961, -0.0670, -0.0015, 55017
4214.0053, -88.0805, 116.2619, 689.8733, -0.0940, -0.0676, -0.0017, -88.0805, 116.2619, 689.8733, -0.0940, -0.0676, -0.0017, 55018
4214.0220, -87.4097, 116.4898, 691.7619, -0.0922, -0.0647, -0.0004, -87.4097, 116.4898, 691.7619, -0.0922, -0.0647, -0.0004, 55019
4214.0387, -85.7781, 116.3272, 689.9684, -0.0860, -0.0611, -0.0001, -85.7781, 116.3272, 689.9684, -0.0860, -0.0611, -0.0001, 55020
4214.0554, -85.6826, 117.5541, 700.0290, -0.0610, -0.0768, 0.0009, -85.6826, 117.5541, 700.0290, -0.0610, -0.0768, 0.0009, 55021
4214.0721, -82.7302, 116.1480, 690.6837, -0.0543, -0.0649, -0.0032, -82.7302, 116.1480, 690.6837, -0.0543, -0.0649, -0.0032, 55022
4214.0887, -80.9812, 116.3415, 692.7134, -0.0573, -0.0667, -0.0021, -80.9812, 116.3415, 692.7134, -0.0573, -0.0667, -0.0021, 55023
4214.1054, -78.7971, 116.3901, 691.5145, -0.0746, -0.0759, -0.0026, -78.7971, 116.3901, 691.5145, -0.0746, -0.0759, -0.0026, 55024
4214.1221, -76.7990, 116.5678, 693.2570, -0.0646, -0.0568, -0.0050, -76.7990, 116.5678, 693.2570, -0.0646, -0.0568, -0.0050, 55025
4214.1388, -75.3364, 117.2543, 700.9312, -0.0289, -0.0679, -0.0040, -75.3364, 117.2543, 700.9312, -0.0289, -0.0679, -0.0040, 55026
4214.1555, -72.2225, 117.6471, 701.5806, -0.0420, -0.0500, -0.0068, -72.2225, 117.6471, 701.5806, -0.0420, -0.0500, -0.0068, 55027
4214.1722, -69.3429, 117.5071, 700.7414, -0.0434, -0.0547, -0.0050, -69.3429, 117.5071, 700.7414, -0.0434, -0.0547, -0.0050, 55028
4214.1889, -66.1138, 117.3211, 701.2617, -0.0262, -0.0536, -0.0076, -66.1138, 117.3211, 701.2617, -0.0262, -0.0536, -0.0076, 55029
4214.2056, -63.3024, 118.3500, 709.0724, -0.0306, -0.0353, -0.0063, -63.3024, 118.3500, 709.0724, -0.0306, -0.0353, -0.0063, 55030
4214.2222, -60.0571, 118.3754, 709.0286, -0.0247, -0.0417, -0.0015, -60.0571, 118.3754, 709.0286, -0.0247, -0.0417, -0.0015, 55031
4214.2389, -56.0360, 118.4496, 711.2733, -0.0173, -0.0416, -0.0075, -56.0360, 118.4496, 711.2733, -0.0173, -0.0416, -0.0075, 55032
4214.2556, -51.3797, 117.4836, 700.3227, -0.0489, -0.0505, -0.0030, -51.3797, 117.4836, 700.3227, -0.0489, -0.0505, -0.0030, 55033
4214.2723, -48.0193, 118.5655, 711.6660, -0.0044, -0.0390, -0.0065, -48.0193, 118.5655, 711.6660, -0.0044, -0.0390, -0.0065, 55034
4214.2890, -42.6393, 117.3098, 699.3130, -0.0326, -0.0147, -0.0105, -42.6393, 117.3098, 699.3130, -0.0326, -0.0147, -0.0105, 55035
4214.3057, -37.9988, 117.7158, 702.0057, -0.0289, -0.0264, -0.0063, -37.9988, 117.7158, 702.0057, -0.0289, -0.0264, -0.0063, 55036
4214.3224, -33.1493, 117.3983, 701.3681, -0.0241, -0.0146, -0.0137, -33.1493, 117.3983, 701.3681, -0.0241, -0.0146, -0.0137, 55037
4214.3391, -28.2423, 117.6027, 702.8045, -0.0260, -0.0126, -0.0104, -28.2423, 117.6027, 702.8045, -0.0260, -0.0126, -0.0104, 55038
4214.3558, -22.9674, 116.9653, 697.4517, -0.0276, -0.0142, -0.0102, -22.9674, 116.9653, 697.4517, -0.0276, -0.0142, -0.0102, 55039
4214.3724, -17.2338, 116.6211, 693.3440, -0.0292, -0.0068, -0.0112, -17.2338, 116.6211, 693.3440, -0.0292, -0.0068, -0.0112, 55040
4214.3891, -11.7036, 117.0455, 695.0168, -0.0507, -0.0012, -0.0110, -11.7036, 117.0455, 695.0168, -0.0507, -0.0012, -0.0110, 55041
