current_time,latest_time,latest_x,latest_y,latest_z
1126934.284446999896,1126934.234612800879,-6.336475491524,-4.961646318436,47.930717468262
1126934.288471099921,1126934.234612800879,-6.336475491524,-4.961646318436,47.930717468262
1126934.292439799989,1126934.234612800879,-6.336475491524,-4.961646318436,47.930717468262
1126934.296415900113,1126934.251286414918,-6.339135050774,-4.973677635193,47.931049346924
1126934.300441999920,1126934.251286414918,-6.339135050774,-4.973677635193,47.931049346924
1126934.305431399960,1126934.251286414918,-6.339135050774,-4.973677635193,47.931049346924
1126934.309421000071,1126934.251286414918,-6.339135050774,-4.973677635193,47.931049346924
1126934.313409199938,1126934.267960028956,-6.342117667198,-4.945163965225,47.954395294189
1126934.317396400031,1126934.267960028956,-6.342117667198,-4.945163965225,47.954395294189
1126934.321391100064,1126934.267960028956,-6.342117667198,-4.945163965225,47.954395294189
1126934.325404400006,1126934.267960028956,-6.342117667198,-4.945163965225,47.954395294189
1126934.330714599928,1126934.284633642994,-6.342465877533,-4.947912931442,47.958721160889
1126934.333686500089,1126934.284633642994,-6.342465877533,-4.947912931442,47.958721160889
1126934.338098499924,1126934.284633642994,-6.342465877533,-4.947912931442,47.958721160889
1126934.342156999977,1126934.284633642994,-6.342465877533,-4.947912931442,47.958721160889
1126934.347139399964,1126934.301307257032,-6.341852664948,-4.960552453995,47.966707229614
1126934.351143300068,1126934.301307257032,-6.341852664948,-4.960552453995,47.966707229614
1126934.355134600075,1126934.301307257032,-6.341852664948,-4.960552453995,47.966707229614
1126934.359090900049,1126934.301307257032,-6.341852664948,-4.960552453995,47.966707229614
1126934.362923200009,1126934.317980871070,-6.336176633835,-4.973531723022,47.967428207397
1126934.368369299918,1126934.317980871070,-6.336176633835,-4.973531723022,47.967428207397
1126934.371127800085,1126934.317980871070,-6.336176633835,-4.973531723022,47.967428207397
1126934.376264299965,1126934.334654485108,-6.334971547127,-4.962246894836,47.962629318237
1126934.380570899928,1126934.334654485108,-6.334971547127,-4.962246894836,47.962629318237
1126934.384573699906,1126934.334654485108,-6.334971547127,-4.962246894836,47.962629318237
1126934.388592199888,1126934.334654485108,-6.334971547127,-4.962246894836,47.962629318237
1126934.392742499942,1126934.351328099146,-6.334066271782,-4.975793600082,47.954408645630
1126934.396099699894,1126934.351328099146,-6.334066271782,-4.975793600082,47.954408645630
1126934.400750299916,1126934.351328099146,-6.334066271782,-4.975793600082,47.954408645630
1126934.404732000083,1126934.351328099146,-6.334066271782,-4.975793600082,47.954408645630
1126934.408912899904,1126934.368001713185,-6.332691311836,-4.963544845581,47.957927703857
1126934.413398500066,1126934.368001713185,-6.332691311836,-4.963544845581,47.957927703857
1126934.416968700010,1126934.368001713185,-6.332691311836,-4.963544845581,47.957927703857
1126934.421963999979,1126934.368001713185,-6.332691311836,-4.963544845581,47.957927703857
1126934.425682399888,1126934.384675327223,-6.332871794701,-4.967711925507,47.968351364136
1126934.429668300087,1126934.384675327223,-6.332871794701,-4.967711925507,47.968351364136
1126934.433913799934,1126934.384675327223,-6.332871794701,-4.967711925507,47.968351364136
1126934.437862399966,1126934.384675327223,-6.332871794701,-4.967711925507,47.968351364136
1126934.443033799995,1126934.401348941261,-6.330980181694,-4.948183536530,47.971458435059
1126934.446784100030,1126934.401348941261,-6.330980181694,-4.948183536530,47.971458435059
1126934.450661600102,1126934.401348941261,-6.330980181694,-4.948183536530,47.971458435059
1126934.454633099958,1126934.401348941261,-6.330980181694,-4.948183536530,47.971458435059
1126934.460020799888,1126934.418022555299,-6.332163095474,-4.939201831818,47.967824935913
1126934.462794299936,1126934.418022555299,-6.332163095474,-4.939201831818,47.967824935913
1126934.467417200096,1126934.418022555299,-6.332163095474,-4.939201831818,47.967824935913
1126934.471368799917,1126934.434696169337,-6.333083271980,-4.969959020615,47.964305877686
1126934.475029000081,1126934.434696169337,-6.333083271980,-4.969959020615,47.964305877686
1126934.480255299946,1126934.434696169337,-6.333083271980,-4.969959020615,47.964305877686
1126934.484749699943,1126934.434696169337,-6.333083271980,-4.969959020615,47.964305877686
1126934.489114399999,1126934.451369783375,-6.336838483810,-4.948982477188,47.983154296875
1126934.491922300076,1126934.451369783375,-6.336838483810,-4.948982477188,47.983154296875
1126934.496367000043,1126934.451369783375,-6.336838483810,-4.948982477188,47.983154296875
1126934.500380400103,1126934.451369783375,-6.336838483810,-4.948982477188,47.983154296875
1126934.505476600025,1126934.468043397414,-6.339303851128,-4.946697711945,47.981357574463
1126934.508935400052,1126934.468043397414,-6.339303851128,-4.946697711945,47.981357574463
1126934.512752899900,1126934.468043397414,-6.339303851128,-4.946697711945,47.981357574463
1126934.517775000073,1126934.468043397414,-6.339303851128,-4.946697711945,47.981357574463
1126934.521374400007,1126934.484717011452,-6.340038180351,-4.988054275513,47.988672256470
1126934.525243799901,1126934.484717011452,-6.340038180351,-4.988054275513,47.988672256470
1126934.530282699969,1126934.484717011452,-6.340038180351,-4.988054275513,47.988672256470
1126934.534253600053,1126934.484717011452,-6.340038180351,-4.988054275513,47.988672256470
1126934.538588399999,1126934.501390625490,-6.341532111168,-4.949916124344,47.981363296509
1126934.542182799894,1126934.501390625490,-6.341532111168,-4.949916124344,47.981363296509
1126934.546130199917,1126934.501390625490,-6.341532111168,-4.949916124344,47.981363296509
